% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:52"
% Table,Table 2 - Volume Average 1
% Time (s),Displacement magnitude (mm)
0,4.1130092678197913E-13
0.025,0.017843664257502192
0.05,0.07855975567542056
0.07500000000000001,0.11812735565927272
0.1,0.12455312579485231
0.125,0.16953328087531144
0.15000000000000002,0.2276303261084084
0.17500000000000002,0.24177156145733755
0.2,0.26378088884988515
0.225,0.32656171210488505
0.25,0.3602430274364115
0.275,0.368241673741928
0.30000000000000004,0.41759304489243626
0.325,0.4727817083736765
0.35000000000000003,0.4841756275265133
0.375,0.5102832704403639
0.4,0.5716559671230937
0.42500000000000004,0.6047579181516656
0.45,0.613481132193327
0.47500000000000003,0.6627531463311216
0.5,0.7172967307247149
0.525,0.7295386144197046
0.55,0.7543084254742569
0.5750000000000001,0.8174560665948759
0.6000000000000001,0.849374503551494
0.625,0.8586661717531365
0.65,0.9075962560069011
0.675,0.9622313426593566
0.7000000000000001,0.9741077055599122
0.7250000000000001,1.0004388066293866
0.75,1.0620091580756754
0.775,1.0941870373599596
0.8,1.1031063117542619
0.8250000000000001,1.153270153050512
0.8500000000000001,1.2074694951125704
0.875,1.2189624015944605
0.9,1.2450204613423395
0.925,1.3074486412555766
0.9500000000000001,1.3386175336532598
0.9750000000000001,1.3486665277243979
1,1.3981551638894196
1.0250000000000001,1.4343657392094538
1.05,1.3856422496920444
1.075,1.3716444050175771
1.1,1.4268679667776052
1.125,1.4165197947695793
1.1500000000000001,1.3644143391769485
1.175,1.3990293813966264
1.2000000000000002,1.4345731660897973
1.2,1.4345731660897978
1.2049999999999998,1.4296955641673237
1.21,1.4211451436161313
1.2149999999999999,1.41048088538667
1.22,1.3975659077802136
1.2249999999999999,1.3854425967381665
1.23,1.37452619038795
1.2349999999999999,1.368004279681617
1.24,1.3639026956404587
1.2449999999999999,1.3661175439519346
1.25,1.3738850011387207
1.255,1.386546752891019
1.26,1.415141812450933
1.265,1.4662481917363646
1.27,1.546087656096589
1.275,1.6559345643618737
1.28,1.7908801215929155
1.285,1.9444100074135622
1.29,2.1077889637487917
1.295,2.2709968425498164
1.3,2.423847080399269
1.305,2.5571464872783207
1.31,2.6637718602209124
1.315,2.739527412970402
1.3199999999999998,2.783697060493191
1.325,2.799218823366125
1.33,2.7927510204950394
1.335,2.7719044831747826
1.3399999999999999,2.7495536651394974
1.345,2.7355203411630478
1.3499999999999999,2.738233450706119
1.355,2.7637228462162593
1.3599999999999999,2.8181087837221197
1.365,2.8964926399037734
1.3699999999999999,2.9929137337869767
1.375,3.0986041597901406
1.38,3.203011295260107
1.385,3.2929931954356224
1.39,3.359313369943125
1.395,3.396341785463285
1.4,3.401141562387223
1.405,3.373839278973292
1.41,3.3152258669905508
1.415,3.2331109849901747
1.42,3.1370816087014197
1.425,3.03666029580678
1.43,2.9417049810353038
1.435,2.8626714328691523
1.44,2.8072257850808087
1.4449999999999998,2.7769625574066903
1.45,2.770872020104009
1.455,2.78428434412509
1.46,2.8095760948096897
1.4649999999999999,2.835361030690618
