% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:51"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),Displacement magnitude (mm),von Mises stress (N/m^2)
1.295,3.916296273485059,3.916296273485059,34827.60199074012
1.3,4.2138904636045895,4.2138904636045895,36935.38648225252
1.305,4.471930473383776,4.471930473383776,38792.574885096714
1.31,4.668747162442263,4.668747162442263,40325.86859066388
1.315,4.790888612292475,4.790888612292475,41497.82773383786
1.3199999999999998,4.8398447836646525,4.8398447836646525,42295.30789528827
1.325,4.8322721422085975,4.8322721422085975,42733.75746164948
1.33,4.793508442446618,4.793508442446618,42879.939037232405
1.335,4.746977519221948,4.746977519221948,42813.751986732685
1.3399999999999999,4.708377036801902,4.708377036801902,42690.65710278195
1.345,4.684170690339776,4.684170690339776,42633.63430046585
1.3499999999999999,4.6832255485268215,4.6832255485268215,42758.01934600947
1.355,4.719799859473877,4.719799859473877,43154.53016806106
1.3599999999999999,4.812497167018289,4.812497167018289,43917.271679931626
1.365,4.951911820356988,4.951911820356988,45008.92091373389
1.3699999999999999,5.124220130617796,5.124220130617796,46362.77102334819
1.375,5.314319666115346,5.314319666115346,47840.94574165692
1.38,5.507899926139929,5.507899926139929,49274.72743946877
1.385,5.685500507349824,5.685500507349824,50465.48076501886
1.39,5.825915954031048,5.825915954031048,51271.40661109757
1.395,5.912513454849745,5.912513454849745,51629.7970235681
1.4,5.933592071338864,5.933592071338864,51577.258319036984
1.405,5.884013286639933,5.884013286639933,51211.69856231597
1.41,5.761953057204426,5.761953057204426,50574.309842976356
1.415,5.585680482857996,5.585680482857996,49658.54382086783
1.42,5.381875064188896,5.381875064188896,48470.06009076677
1.425,5.178248962165926,5.178248962165926,47103.09422415409
1.43,4.999545127905496,4.999545127905496,45752.342937066765
1.435,4.867160539115326,4.867160539115326,44632.799922351915
1.44,4.789691262169481,4.789691262169481,43842.88041362154
1.4449999999999998,4.758475487414139,4.758475487414139,43365.82444988531
1.45,4.762293457516839,4.762293457516839,43175.65529690442
1.455,4.7896505131373415,4.7896505131373415,43206.05839388139
1.46,4.829993619364605,4.829993619364605,43357.637909269986
1.4649999999999999,4.87213218056208,4.87213218056208,43512.03990957838
1.47,4.905152245283721,4.905152245283721,43540.741547620106
1.475,4.915426894728056,4.915426894728056,43303.61441183237
1.48,4.885249654581732,4.885249654581732,42695.38188232066
1.4849999999999999,4.794779608037623,4.794779608037623,41663.32516553059
1.49,4.62633618559905,4.62633618559905,40172.44390633605
1.4949999999999999,4.391320296612564,4.391320296612564,38315.7603466042
1.5,4.1062726956196975,4.1062726956196975,36193.70217551066
1.505,3.7948731551492325,3.7948731551492325,33935.74398651266
1.51,3.482751011871049,3.482751011871049,31671.28846683539
1.515,3.1970257292318736,3.1970257292318736,29550.24096346691
1.52,2.951888681893148,2.951888681893148,27658.819920890746
1.525,2.758918453630216,2.758918453630216,26042.85993096961
1.53,2.6245550652606204,2.6245550652606204,24716.176780131318
1.535,2.546843729279282,2.546843729279282,23672.34160368758
1.54,2.517436284198196,2.517436284198196,22917.06258606052
1.545,2.509275541480181,2.509275541480181,22385.677773777974
