case_id,time_s,avg_displacement_mm,avg_vm_kpa
stage5_no_skin_100g,1.565,2.423488,0.261366
stage5_no_skin_100g,1.57,2.390553,0.258546
stage5_no_skin_100g,1.575,2.360692,0.256422
stage5_no_skin_100g,1.58,2.326755,0.25419
stage5_no_skin_100g,1.585,2.281992,0.250928
stage5_no_skin_100g,1.59,2.220449,0.245684
stage5_no_skin_100g,1.595,2.137218,0.237596
stage5_no_skin_100g,1.6,2.028612,0.226018
stage5_no_skin_100g,1.605,1.890519,0.210374
stage5_no_skin_100g,1.61,1.723669,0.190945
stage5_no_skin_100g,1.615,1.529951,0.168292
stage5_no_skin_100g,1.62,1.312668,0.143175
stage5_no_skin_100g,1.625,1.077063,0.116484
stage5_no_skin_100g,1.63,0.830167,0.089127
stage5_no_skin_100g,1.635,0.5802,0.061965
stage5_no_skin_100g,1.64,0.336217,0.03592
stage5_no_skin_100g,1.645,0.113268,0.014164
stage5_no_skin_100g,1.65,0.123201,0.017608
stage5_no_skin_100g,1.655,0.281992,0.034851
stage5_no_skin_100g,1.66,0.413875,0.049827
stage5_no_skin_100g,1.665,0.50739,0.060595
stage5_no_skin_100g,1.67,0.557231,0.066227
stage5_no_skin_100g,1.675,0.562425,0.066469
stage5_no_skin_100g,1.68,0.528422,0.062012
stage5_no_skin_100g,1.685,0.457716,0.053302
stage5_no_skin_100g,1.69,0.355775,0.041228
stage5_no_skin_100g,1.695,0.232451,0.027158
stage5_no_skin_100g,1.7,0.098608,0.012731
stage5_no_skin_100g,1.705,0.060339,0.008668
stage5_no_skin_100g,1.71,0.196986,0.022099
stage5_no_skin_100g,1.715,0.325942,0.03639
stage5_no_skin_100g,1.72,0.437548,0.049358
stage5_no_skin_100g,1.725,0.526703,0.0602
stage5_no_skin_100g,1.73,0.589817,0.06827
stage5_no_skin_100g,1.735,0.626474,0.073181
stage5_no_skin_100g,1.74,0.637888,0.074686
stage5_no_skin_100g,1.745,0.629803,0.073307
stage5_no_skin_100g,1.75,0.606691,0.069561
stage5_no_skin_100g,1.755,0.573682,0.064153
stage5_no_skin_100g,1.76,0.537349,0.058116
stage5_no_skin_100g,1.765,0.505595,0.052815
stage5_no_skin_100g,1.77,0.485142,0.049622
stage5_no_skin_100g,1.775,0.484681,0.05018
stage5_no_skin_100g,1.78,0.508981,0.053989
stage5_no_skin_100g,1.785,0.562059,0.060275
stage5_no_skin_100g,1.79,0.65105,0.069349
stage5_no_skin_100g,1.795,0.773238,0.081407
stage5_no_skin_100g,1.8,0.935991,0.097809
stage5_no_skin_100g,1.805,1.133422,0.118605
stage5_no_skin_100g,1.81,1.364466,0.143879
stage5_no_skin_100g,1.815,1.625002,0.173111
stage5_no_skin_100g,1.82,1.905993,0.2051
stage5_no_skin_100g,1.825,2.203069,0.239174
stage5_no_skin_100g,1.83,2.505678,0.273809
stage5_no_skin_100g,1.835,2.805888,0.30777
stage5_no_skin_100g,1.84,3.095373,0.339936
stage5_no_skin_100g,1.845,3.366811,0.369517
stage5_no_skin_100g,1.85,3.609817,0.395513
stage5_no_skin_100g,1.855,3.821176,0.418014
stage5_no_skin_100g,1.86,3.981375,0.435521
stage5_no_skin_100g,1.865,4.085605,0.447733
stage5_no_skin_100g,1.87,4.125847,0.453604
stage5_no_skin_100g,1.875,4.097666,0.452124
stage5_no_skin_100g,1.88,4.012006,0.443904
stage5_no_skin_100g,1.885,3.863979,0.42773
stage5_no_skin_100g,1.89,3.673845,0.405835
stage5_no_skin_100g,1.895,3.448707,0.379081
stage5_no_skin_100g,1.9,3.203009,0.349587
stage5_no_skin_100g,1.9,3.203009,0.349587
stage5_no_skin_100g,1.925,2.171354,0.230011
stage5_no_skin_100g,1.95,2.369337,0.249158
stage5_no_skin_100g,1.975,3.48042,0.383999
stage5_no_skin_100g,2,4.093144,0.451998
stage5_no_skin_100g,2.025,3.366686,0.36825
stage5_no_skin_100g,2.05,2.235192,0.233885
stage5_no_skin_100g,2.075,2.238274,0.23952
stage5_no_skin_100g,2.1,3.402486,0.368405
stage5_no_skin_100g,2.125,4.100144,0.455418
stage5_no_skin_100g,2.15,3.443189,0.376693
stage5_no_skin_100g,2.175,2.33611,0.248677
stage5_no_skin_100g,2.2,2.208871,0.231499
stage5_no_skin_125g,0,0,0
stage5_no_skin_125g,0.025,0.020405,0.001817
stage5_no_skin_125g,0.05,0.117597,0.012465
stage5_no_skin_125g,0.075,0.261153,0.028537
stage5_no_skin_125g,0.1,0.364827,0.040185
stage5_no_skin_125g,0.125,0.395477,0.042946
stage5_no_skin_125g,0.15,0.4125,0.044294
stage5_no_skin_125g,0.175,0.49394,0.053293
stage5_no_skin_125g,0.2,0.636616,0.069273
stage5_no_skin_125g,0.225,0.752802,0.082065
stage5_no_skin_125g,0.25,0.789786,0.085891
stage5_no_skin_125g,0.275,0.802463,0.086739
stage5_no_skin_125g,0.3,0.875483,0.094519
stage5_no_skin_125g,0.325,1.011659,0.109866
stage5_no_skin_125g,0.35,1.135237,0.1237
stage5_no_skin_125g,0.375,1.185867,0.128834
stage5_no_skin_125g,0.4,1.196076,0.129435
stage5_no_skin_125g,0.425,1.254618,0.135777
stage5_no_skin_125g,0.45,1.387081,0.150452
stage5_no_skin_125g,0.475,1.518999,0.165189
stage5_no_skin_125g,0.5,1.578105,0.171575
stage5_no_skin_125g,0.525,1.590034,0.172314
stage5_no_skin_125g,0.55,1.638927,0.177268
stage5_no_skin_125g,0.575,1.760356,0.190968
stage5_no_skin_125g,0.6,1.897378,0.206237
stage5_no_skin_125g,0.625,1.973969,0.214528
stage5_no_skin_125g,0.65,1.986957,0.215396
stage5_no_skin_125g,0.675,2.022339,0.219084
stage5_no_skin_125g,0.7,2.134736,0.231284
stage5_no_skin_125g,0.725,2.276471,0.247362
stage5_no_skin_125g,0.75,2.363687,0.256873
stage5_no_skin_125g,0.775,2.384806,0.258787
stage5_no_skin_125g,0.8,2.411827,0.26108
stage5_no_skin_125g,0.825,2.506691,0.271804
stage5_no_skin_125g,0.85,2.651056,0.287822
stage5_no_skin_125g,0.875,2.754422,0.299317
stage5_no_skin_125g,0.9,2.782655,0.301927
stage5_no_skin_125g,0.925,2.798813,0.303364
stage5_no_skin_125g,0.95,2.885113,0.312534
stage5_no_skin_125g,0.975,3.025503,0.328443
stage5_no_skin_125g,1,3.139072,0.341096
stage5_no_skin_125g,1.025,3.160375,0.34344
stage5_no_skin_125g,1.05,3.077089,0.333796
stage5_no_skin_125g,1.075,3.002687,0.325192
stage5_no_skin_125g,1.1,3.033272,0.328681
stage5_no_skin_125g,1.125,3.128047,0.339619
stage5_no_skin_125g,1.15,3.161435,0.343856
stage5_no_skin_125g,1.175,3.095118,0.335778
stage5_no_skin_125g,1.2,3.012298,0.326268
stage5_no_skin_125g,1.2,3.012298,0.326268
stage5_no_skin_125g,1.205,3.004047,0.325248
stage5_no_skin_125g,1.21,3.001543,0.324902
stage5_no_skin_125g,1.215,3.001701,0.324867
stage5_no_skin_125g,1.22,3.00911,0.32576
stage5_no_skin_125g,1.225,3.017968,0.326838
stage5_no_skin_125g,1.23,3.03341,0.328758
stage5_no_skin_125g,1.235,3.049782,0.330779
stage5_no_skin_125g,1.24,3.069362,0.333145
stage5_no_skin_125g,1.245,3.089132,0.33548
stage5_no_skin_125g,1.25,3.109183,0.33777
stage5_no_skin_125g,1.255,3.133194,0.34023
stage5_no_skin_125g,1.26,3.166984,0.343318
stage5_no_skin_125g,1.265,3.221538,0.348034
stage5_no_skin_125g,1.27,3.305107,0.355413
