case_id,time_s,max_displacement_mm,max_vm_kpa
stage5_no_skin_100g,0,0,0
stage5_no_skin_100g,0.025,0.026354,0.01231
stage5_no_skin_100g,0.05,0.195951,0.062462
stage5_no_skin_100g,0.075,0.493109,0.13989
stage5_no_skin_100g,0.1,0.722549,0.195547
stage5_no_skin_100g,0.125,0.740643,0.212935
stage5_no_skin_100g,0.15,0.742813,0.221399
stage5_no_skin_100g,0.175,0.912941,0.264772
stage5_no_skin_100g,0.2,1.201618,0.341243
stage5_no_skin_100g,0.225,1.422056,0.403875
stage5_no_skin_100g,0.25,1.496948,0.424699
stage5_no_skin_100g,0.275,1.488684,0.431094
stage5_no_skin_100g,0.3,1.602585,0.468201
stage5_no_skin_100g,0.325,1.897256,0.543002
stage5_no_skin_100g,0.35,2.16269,0.609873
stage5_no_skin_100g,0.375,2.225022,0.636631
stage5_no_skin_100g,0.4,2.216606,0.641978
stage5_no_skin_100g,0.425,2.334978,0.672214
stage5_no_skin_100g,0.45,2.587904,0.744424
stage5_no_skin_100g,0.475,2.863041,0.81556
stage5_no_skin_100g,0.5,2.97987,0.848007
stage5_no_skin_100g,0.525,2.964335,0.852599
stage5_no_skin_100g,0.55,3.025477,0.878283
stage5_no_skin_100g,0.575,3.298222,0.945
stage5_no_skin_100g,0.6,3.579785,1.019578
stage5_no_skin_100g,0.625,3.704743,1.058672
stage5_no_skin_100g,0.65,3.708907,1.066295
stage5_no_skin_100g,0.675,3.767975,1.084223
stage5_no_skin_100g,0.7,3.977902,1.146341
stage5_no_skin_100g,0.725,4.276156,1.221846
stage5_no_skin_100g,0.75,4.456406,1.269116
stage5_no_skin_100g,0.775,4.457307,1.278578
stage5_no_skin_100g,0.8,4.478235,1.294283
stage5_no_skin_100g,0.825,4.68676,1.345385
stage5_no_skin_100g,0.85,4.978544,1.423892
stage5_no_skin_100g,0.875,5.170077,1.476873
stage5_no_skin_100g,0.9,5.209124,1.493738
stage5_no_skin_100g,0.925,5.228028,1.501468
stage5_no_skin_100g,0.95,5.369154,1.548988
stage5_no_skin_100g,0.975,5.670499,1.623367
stage5_no_skin_100g,1,5.906175,1.684548
stage5_no_skin_100g,1.025,5.931452,1.694573
stage5_no_skin_100g,1.05,5.755998,1.652057
stage5_no_skin_100g,1.075,5.601433,1.612154
stage5_no_skin_100g,1.1,5.644683,1.626857
stage5_no_skin_100g,1.125,5.861205,1.678627
stage5_no_skin_100g,1.15,5.968047,1.696276
stage5_no_skin_100g,1.175,5.795715,1.662347
stage5_no_skin_100g,1.2,5.597135,1.61562
stage5_no_skin_100g,1.2,5.597135,1.61562
stage5_no_skin_100g,1.205,5.576561,1.611261
stage5_no_skin_100g,1.21,5.572622,1.610575
stage5_no_skin_100g,1.215,5.574174,1.611101
stage5_no_skin_100g,1.22,5.597269,1.615498
stage5_no_skin_100g,1.225,5.623863,1.620506
stage5_no_skin_100g,1.23,5.665089,1.628093
stage5_no_skin_100g,1.235,5.707936,1.636301
stage5_no_skin_100g,1.24,5.754637,1.645984
stage5_no_skin_100g,1.245,5.79901,1.656165
stage5_no_skin_100g,1.25,5.840832,1.666892
stage5_no_skin_100g,1.255,5.882043,1.68005
stage5_no_skin_100g,1.26,5.927701,1.697924
stage5_no_skin_100g,1.265,5.98676,1.725506
stage5_no_skin_100g,1.27,6.083073,1.769741
stage5_no_skin_100g,1.275,6.223945,1.826243
stage5_no_skin_100g,1.28,6.417535,1.895659
stage5_no_skin_100g,1.285,6.671003,1.978443
stage5_no_skin_100g,1.29,6.990186,2.074639
stage5_no_skin_100g,1.295,7.397923,2.187343
stage5_no_skin_100g,1.3,7.865178,2.311472
stage5_no_skin_100g,1.305,8.378182,2.445055
stage5_no_skin_100g,1.31,8.923289,2.586136
stage5_no_skin_100g,1.315,9.485733,2.73252
stage5_no_skin_100g,1.32,10.046744,2.879341
stage5_no_skin_100g,1.325,10.592074,3.019382
stage5_no_skin_100g,1.33,11.111387,3.148052
stage5_no_skin_100g,1.335,11.585414,3.258591
stage5_no_skin_100g,1.34,11.984493,3.344422
stage5_no_skin_100g,1.345,12.28194,3.404435
stage5_no_skin_100g,1.35,12.457862,3.441198
stage5_no_skin_100g,1.355,12.509606,3.459885
stage5_no_skin_100g,1.36,12.453651,3.46515
stage5_no_skin_100g,1.365,12.308802,3.457461
stage5_no_skin_100g,1.37,12.098468,3.435211
stage5_no_skin_100g,1.375,11.842405,3.397482
stage5_no_skin_100g,1.38,11.564728,3.347184
stage5_no_skin_100g,1.385,11.2919,3.289896
stage5_no_skin_100g,1.39,11.046984,3.230727
stage5_no_skin_100g,1.395,10.841516,3.173309
stage5_no_skin_100g,1.4,10.682742,3.122144
stage5_no_skin_100g,1.405,10.572777,3.082412
stage5_no_skin_100g,1.41,10.515086,3.058584
stage5_no_skin_100g,1.415,10.512966,3.052262
stage5_no_skin_100g,1.42,10.566664,3.062147
stage5_no_skin_100g,1.425,10.671354,3.084977
stage5_no_skin_100g,1.43,10.815478,3.116137
stage5_no_skin_100g,1.435,10.984846,3.150511
stage5_no_skin_100g,1.44,11.165284,3.184313
stage5_no_skin_100g,1.445,11.339693,3.215952
stage5_no_skin_100g,1.45,11.481152,3.243734
stage5_no_skin_100g,1.455,11.568809,3.264259
stage5_no_skin_100g,1.46,11.592467,3.272946
stage5_no_skin_100g,1.465,11.547433,3.265637
stage5_no_skin_100g,1.47,11.431626,3.239009
stage5_no_skin_100g,1.475,11.24834,3.190502
stage5_no_skin_100g,1.48,11.004579,3.118385
stage5_no_skin_100g,1.485,10.703362,3.022062
stage5_no_skin_100g,1.49,10.340228,2.903123
stage5_no_skin_100g,1.495,9.907258,2.766266
stage5_no_skin_100g,1.5,9.398461,2.617855
stage5_no_skin_100g,1.505,8.819165,2.464533
stage5_no_skin_100g,1.51,8.188365,2.311289
stage5_no_skin_100g,1.515,7.534513,2.161197
stage5_no_skin_100g,1.52,6.892642,2.015612
stage5_no_skin_100g,1.525,6.296864,1.875398
stage5_no_skin_100g,1.53,5.774185,1.742836
stage5_no_skin_100g,1.535,5.342135,1.622333
stage5_no_skin_100g,1.54,5.006424,1.519317
stage5_no_skin_100g,1.545,4.757025,1.437632
stage5_no_skin_100g,1.55,4.578503,1.377725
stage5_no_skin_100g,1.555,4.462028,1.337489
stage5_no_skin_100g,1.56,4.398622,1.311338
stage5_no_skin_100g,1.565,4.385488,1.295066
stage5_no_skin_100g,1.57,4.414325,1.284195
stage5_no_skin_100g,1.575,4.466641,1.273484
stage5_no_skin_100g,1.58,4.512748,1.257427
stage5_no_skin_100g,1.585,4.522525,1.231948
stage5_no_skin_100g,1.59,4.47349,1.195225
stage5_no_skin_100g,1.595,4.350607,1.146842
stage5_no_skin_100g,1.6,4.14501,1.086716
stage5_no_skin_100g,1.605,3.847956,1.013885
stage5_no_skin_100g,1.61,3.466763,0.928411
stage5_no_skin_100g,1.615,3.018407,0.829675
stage5_no_skin_100g,1.62,2.529943,0.717082
stage5_no_skin_100g,1.625,2.027792,0.591685
stage5_no_skin_100g,1.63,1.537631,0.458281
stage5_no_skin_100g,1.635,1.061902,0.32139
stage5_no_skin_100g,1.64,0.601201,0.185907
stage5_no_skin_100g,1.645,0.257943,0.089383
stage5_no_skin_100g,1.65,0.342253,0.087698
stage5_no_skin_100g,1.655,0.698387,0.158641
stage5_no_skin_100g,1.66,0.993467,0.230127
stage5_no_skin_100g,1.665,1.20406,0.277077
stage5_no_skin_100g,1.67,1.311447,0.299983
stage5_no_skin_100g,1.675,1.316242,0.301588
stage5_no_skin_100g,1.68,1.236392,0.285261
stage5_no_skin_100g,1.685,1.073648,0.251563
stage5_no_skin_100g,1.69,0.839314,0.200674
stage5_no_skin_100g,1.695,0.556914,0.135219
stage5_no_skin_100g,1.7,0.248803,0.066228
stage5_no_skin_100g,1.705,0.197012,0.033177
stage5_no_skin_100g,1.71,0.429797,0.112156
stage5_no_skin_100g,1.715,0.70382,0.185566
stage5_no_skin_100g,1.72,0.9745,0.247881
stage5_no_skin_100g,1.725,1.205626,0.296347
stage5_no_skin_100g,1.73,1.379985,0.328783
stage5_no_skin_100g,1.735,1.488793,0.34489
stage5_no_skin_100g,1.74,1.524702,0.347711
stage5_no_skin_100g,1.745,1.489008,0.342003
stage5_no_skin_100g,1.75,1.388224,0.330159
stage5_no_skin_100g,1.755,1.237597,0.31555
stage5_no_skin_100g,1.76,1.061164,0.298422
stage5_no_skin_100g,1.765,0.894571,0.280358
