% Model,stage5_reference_no_cooper_xoffset055_125g_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 13:23"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,6.221482837428864E-13,4.3937922739951905E-9
0.025,0.02635374385980254,12.09488207700517
0.05,0.19598132242713123,62.30704321964252
0.07500000000000001,0.49310630928151056,139.76209572822899
0.1,0.7226000248267165,195.6407114452915
0.125,0.7407646383866692,212.7228486117372
0.15000000000000002,0.7429339881879007,221.09794681879995
0.17500000000000002,0.913007442607254,264.55486514131724
0.2,1.2016978086507901,341.032935615901
0.225,1.4220910770783606,403.568308970018
0.25,1.497045650313691,424.5185403277244
0.275,1.48884144029077,430.72146332414707
0.30000000000000004,1.6026982789033888,467.68970903849004
0.325,1.897279483639147,542.6047581690926
0.35000000000000003,2.162765769309341,609.5921481621032
0.375,2.2251861714905585,636.1512046519807
0.4,2.216760331056774,641.4458057795528
0.42500000000000004,2.335183454459303,671.6987782125831
0.45,2.587884468630621,743.7760461801079
0.47500000000000003,2.8630178277837186,815.0341743318843
0.5,2.9800445989587945,847.5210570315116
0.525,2.964758568592072,851.9382042145943
0.55,3.0255979623088147,877.4498842191007
0.5750000000000001,3.2981991130906403,944.2989507155357
0.6000000000000001,3.5797806335086055,1018.9126174863331
0.625,3.704989556587918,1057.950235521546
0.65,3.7094054562749004,1065.522335311365
0.675,3.7683441366220305,1083.3774599696824
0.7000000000000001,3.9777916497829007,1145.356661200177
0.7250000000000001,4.276109311444407,1220.963238738059
0.75,4.456762740601887,1268.347827915971
0.775,4.457863636275317,1277.6456820743106
0.8,4.478384153623029,1293.196472668863
0.8250000000000001,4.686667847556241,1344.2955050691432
0.8500000000000001,4.97840889061398,1422.8234894113878
0.875,5.170299529025979,1475.845582066353
0.9,5.209681757282025,1492.7331061173263
0.925,5.228389781419175,1500.2859311321254
0.9500000000000001,5.36926401902283,1547.6902025224058
0.9750000000000001,5.670312105575771,1622.122279904261
1,5.906743669442176,1683.4613706856426
1.0250000000000001,5.932271304653861,1693.5030359721657
1.05,5.756253830803164,1650.836735828845
1.075,5.601751626904887,1610.9535604171872
1.1,5.644547184928597,1625.347743627296
1.125,5.861653927903237,1677.532866443983
1.1500000000000001,5.968051854925374,1695.1669761326455
1.175,5.796205167478707,1661.228283424735
1.2000000000000002,5.597027810322023,1614.135883541568
1.2,5.5970278103220235,1614.135883541565
1.2049999999999998,5.577152240236177,1609.9823137282265
1.21,5.572524876166596,1609.169756117339
1.2149999999999999,5.574955060043815,1609.9041694552548
1.22,5.597273982158142,1614.1748977540708
1.2249999999999999,5.623544988134436,1619.130206776371
1.23,5.665224112822485,1626.8351190367605
1.2349999999999999,5.708039230912013,1635.0008852037413
1.24,5.754773274104443,1644.7563807826593
1.2449999999999999,5.799383971817425,1654.9039905577383
1.25,5.840876886870103,1665.6273516967353
1.255,5.882727812528273,1678.7578670799824
1.26,5.931682260183242,1698.5619573163376
1.265,6.002958026587619,1732.5434189877244
1.27,6.111846445491976,1783.981889118602
1.275,6.280028208563297,1852.6546002510443
1.28,6.524347777556487,1940.4784232386273
1.285,6.852327701859315,2046.809884756877
1.29,7.270643630620618,2170.88891137244
1.295,7.77904831826905,2311.870878301243
1.3,8.368869374703998,2468.251412076925
1.305,9.023299211761868,2637.785753282544
1.31,9.719890145403951,2817.7744271929896
1.315,10.435458065606193,3004.5993474517736
1.3199999999999998,11.149160440365282,3191.8770820931677
1.325,11.845233469546747,3371.0050967307106
1.33,12.507964305641492,3534.5065381029176
1.335,13.110503196704197,3673.6544363429443
1.3399999999999999,13.61429817608275,3780.5611957024016
1.345,13.984046167303733,3853.9561439965196
1.3499999999999999,14.190855746847115,3897.685858275696
1.355,14.233234384987178,3919.1785106350744
1.3599999999999999,14.146025962725309,3923.849259267709
1.365,13.952496680620289,3910.3740693206582
1.3699999999999999,13.672979785073862,3877.2374961173978
1.375,13.335194628960405,3825.499136993942
1.38,12.974201087469353,3759.5289175006105
1.385,12.629891838797436,3685.466503653871
1.39,12.32106726849864,3608.9392511229667
1.395,12.05917928570969,3534.863190287247
1.4,11.85320610849331,3469.288561043623
1.405,11.715149544561008,3420.583244449663
1.41,11.64967069727248,3393.9360403924347
1.415,11.658283412237513,3389.5449269597725
1.42,11.73994314721977,3405.555733949762
1.425,11.882672433720588,3437.5897795689457
1.43,12.077538039796453,3479.6348160655334
1.435,12.307588700706598,3524.4063114401483
1.44,12.550763860650836,3569.2856856260523
1.4449999999999998,12.777330859739155,3612.616360037461
1.45,12.960635475047445,3650.908740213687
1.455,13.071611974825377,3677.6691350029787
1.46,13.101444696764963,3689.093115053247
1.4649999999999999,13.04102078523795,3680.783192965243
1.47,12.893641028572594,3648.958183360599
1.475,12.665760644942603,3588.3392672879913
1.48,12.359080677395422,3493.312668552282
1.4849999999999999,11.976462894854299,3367.112329909182
1.49,11.5103676009612,3213.7759332008495
1.4949999999999999,10.952815260067002,3039.398790803242
1.5,10.292769472319304,2851.1088249687286
1.505,9.543039863864882,2657.978173544947
1.51,8.734325931989465,2465.950446597876
1.515,7.902207175273182,2277.2621397901967
1.52,7.090658726959624,2091.9094251583783
1.525,6.3532031486189835,1912.0594677082838
