% Model,stage5_reference_no_cooper_xoffset055_125g_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 13:22"
% Table,Table 2 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,4.0790964024749527E-13,5.88457819688204E-11
0.025,0.020405273384284373,1.8166079439622134
0.05,0.11759739603817057,12.465029847937345
0.07500000000000001,0.2611530342016719,28.537227902570784
0.1,0.3648272140597128,40.1845310135942
0.125,0.39547707866942494,42.946048711508375
0.15000000000000002,0.41249999360641104,44.29375472716085
0.17500000000000002,0.4939400752744628,53.29250574253585
0.2,0.6366160162289841,69.27309341599009
0.225,0.7528017023939687,82.06535695645631
0.25,0.7897862232776034,85.89089405158515
0.275,0.8024631899078268,86.73897187867021
0.30000000000000004,0.8754826043322572,94.5188274522886
0.325,1.0116590944706383,109.86646667039278
0.35000000000000003,1.135236886607795,123.70000505028983
0.375,1.1858674103972682,128.8338378314015
0.4,1.1960758521633832,129.4349130004635
0.42500000000000004,1.2546176834716087,135.7771875466586
0.45,1.3870813699154094,150.4516036118975
0.47500000000000003,1.5189985214119461,165.18893582805632
0.5,1.5781050085053512,171.5752549443246
0.525,1.5900336363989385,172.31448808923878
0.55,1.6389271507537388,177.26816479556445
0.5750000000000001,1.760355931611653,190.9675597804556
0.6000000000000001,1.897378391603732,206.23690382869
0.625,1.9739690942248398,214.52771955444717
0.65,1.986957395385861,215.39620792566882
0.675,2.0223394285481606,219.08395839690468
0.7000000000000001,2.1347356459324365,231.2843712850489
0.7250000000000001,2.2764710576122353,247.36243230159806
0.75,2.3636867807358253,256.8729930921897
0.775,2.3848062492579696,258.78731655445023
0.8,2.4118268846826187,261.0804585219109
0.8250000000000001,2.506690819473565,271.8036225585455
0.8500000000000001,2.651056323433627,287.82246765253234
0.875,2.754422426094135,299.31660640994363
0.9,2.782654749244941,301.9274372751432
0.925,2.798812574986928,303.36353272152763
0.9500000000000001,2.885112711615366,312.53392953596574
0.9750000000000001,3.0255027779283212,328.44279484501965
1,3.139072449452006,341.09577310876165
1.0250000000000001,3.160374862604868,343.43979751797855
1.05,3.0770886729091793,333.7963604174308
1.075,3.002686640653104,325.19152474910896
1.1,3.0332721902137934,328.68090998604833
1.125,3.1280466374827367,339.61912516890044
1.1500000000000001,3.1614347939572145,343.85605205642844
1.175,3.095117605343783,335.7776141143484
1.2000000000000002,3.0122984953097864,326.26826981652886
1.2,3.012298495309787,326.2682698165289
1.2049999999999998,3.0040473642250864,325.24821391247787
1.21,3.0015433832605334,324.9015340478004
1.2149999999999999,3.0017011634941615,324.86716047769886
1.22,3.0091100769488484,325.7595608310831
1.2249999999999999,3.017967711554081,326.83780876344883
1.23,3.0334098157873624,328.7582393730427
1.2349999999999999,3.049782383841447,330.77912633614295
1.24,3.069361788763198,333.14458220339475
1.2449999999999999,3.089132327958596,335.4797281396091
1.25,3.109183009435087,337.77014790204504
1.255,3.133193738184812,340.22969882844654
1.26,3.166983712239439,343.3183344743555
1.265,3.221538324874111,348.03360975373585
1.27,3.3051072701298483,355.4127216053328
1.275,3.4270940888070047,366.9011351566698
1.28,3.5910174183005017,383.4191818214207
1.285,3.7949601468792733,405.04826298596834
1.29,4.037314270171177,431.7102231572167
1.295,4.314451569502679,462.90497857391324
1.3,4.620874462147948,497.7654989150437
1.305,4.94942253761536,535.1679431667416
1.31,5.291528074261001,573.8749566873554
1.315,5.63742402167499,612.662291516078
1.3199999999999998,5.973537929120166,650.0995222923009
1.325,6.2890110519839135,685.2894711173878
1.33,6.57613167059053,717.5600996820275
1.335,6.825905926003379,745.9991594188772
1.3399999999999999,7.030016546647033,769.6182804445363
1.345,7.18454752310064,787.7245546809746
1.3499999999999999,7.286254699226159,799.5775525396663
1.355,7.334998368084984,804.7977905822121
1.3599999999999999,7.336727547463417,803.9420433986799
1.365,7.2953099993605415,797.509123454516
1.3699999999999999,7.218634671329953,786.6900547485657
1.375,7.113921167177278,772.6862110118869
1.38,6.988677641397171,756.7860897483507
1.385,6.852708238976215,740.4652348114805
1.39,6.716839569223894,724.9552623615488
1.395,6.590071310035884,711.0767054681262
1.4,6.480847228054611,699.422001521644
1.405,6.399161249222195,690.7252512252475
1.41,6.350281441455395,685.3770098496482
1.415,6.334919774153215,683.5356747363787
1.42,6.352633191568817,685.3794256804689
1.425,6.40037983140079,690.8527085489072
1.43,6.475017523377752,699.9026890526404
1.435,6.565627396456212,711.2977393986632
1.44,6.6627150874155765,723.7770590023
1.4449999999999998,6.756578180652563,735.9370130423716
1.45,6.836900076333821,746.2846633630056
1.455,6.889404996785406,752.9224473491578
1.46,6.907233518689981,755.137855444386
1.4649999999999999,6.882661879302021,752.235036443489
1.47,6.809709690075264,743.8389597364039
1.475,6.68204595068978,729.597966647564
1.48,6.495857454876133,709.3579073343785
1.4849999999999999,6.259118766380288,683.9343588999487
1.49,5.977279307645817,653.6748282758806
1.4949999999999999,5.658099417462125,619.0674127459272
