% Model,STAGE5~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 5 2026, 09:44"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (m),von Mises stress (N/m^2)
0,6.1497188102430075E-16,3.0492962327183005E-7
0.025,2.5850293797180166E-5,363.11228186601653
0.05,1.783459542887939E-4,1419.7575792169364
0.07500000000000001,4.145688268134111E-4,2683.3046155039656
0.1,5.452853007793029E-4,3486.9665243243226
0.125,5.222008208732133E-4,3784.4827621041045
0.15000000000000002,5.849394483903404E-4,4321.448308489751
0.17500000000000002,8.019800065546702E-4,5511.906741794379
0.2,0.0010070837281012217,6738.656808365049
0.225,0.00106425910199682,7297.6470297797105
0.25,0.0010688139504846273,7559.92175545945
0.275,0.001179565987946535,8378.597154954223
0.30000000000000004,0.0013993457517668068,9626.806090047234
0.325,0.0015801339896861014,10679.988579664461
0.35000000000000003,0.001607022933828699,11083.826796356287
0.375,0.0016056848270465844,11429.485063873497
0.4,0.0017801773977128607,12432.378497893003
0.42500000000000004,0.0020147581175780976,13758.583211198515
0.45,0.002129531434104873,14546.063863517444
0.47500000000000003,0.002122598044501893,14820.72969687656
0.5,0.002188483769407508,15424.088178208716
0.525,0.002389755497970763,16513.59797082467
0.55,0.002592352937755442,17799.823186144895
0.5750000000000001,0.0026764318268962892,18374.228892697898
0.6000000000000001,0.0026670744763648744,18621.425502769172
0.625,0.002756598674087565,19409.342156021507
0.65,0.003007785837438645,20687.235940188486
0.675,0.003175482927172054,21729.478068165943
0.7000000000000001,0.0031952087540833072,22145.70465099674
0.7250000000000001,0.0032089345881057755,22515.58514365428
0.75,0.003377283944138166,23451.724243931847
0.775,0.0035994917538170307,24801.53141274386
0.8,0.0037208537362577814,25610.58617642425
0.8250000000000001,0.00374346692862413,25923.95678854074
0.8500000000000001,0.0037792365709356933,26455.012752907543
0.875,0.003959197646982843,27560.449467853734
0.9,0.004200887396258762,28782.846495164016
0.925,0.004281135103695898,29499.511926776562
0.9500000000000001,0.004266783958862579,29776.304641641193
0.9750000000000001,0.0043598293660320276,30399.402558029255
1,0.004574118440122467,31642.52663566075
1.0250000000000001,0.004736531901860634,32436.243678564184
1.05,0.004643478212237624,31884.997176369132
1.075,0.004419329932753244,30962.07231191906
1.1,0.004389556434158104,30937.47509262966
1.125,0.004636808756881683,31891.824890114694
1.1500000000000001,0.004766999185356923,32440.219166722934
1.175,0.004563533553933721,31649.084331396345
1.2000000000000002,0.004359342893577183,30741.125830656318
1.2,0.004359342893577183,30741.125830656318
1.2049999999999998,0.0043591761822322685,30722.910165322377
1.21,0.0043689800316526846,30749.240271734678
1.2149999999999999,0.004392765752676608,30838.03758257537
1.22,0.0044302506378409625,30994.402612859365
1.2249999999999999,0.004472858800506788,31177.0111895008
1.23,0.004522985402813797,31402.52890640452
1.2349999999999999,0.004572982514947284,31630.63983327645
1.24,0.004622847905067579,31861.388793492653
1.2449999999999999,0.0046654501650819314,32058.46922492709
1.25,0.004705267712435447,32276.75849370825
1.255,0.004739407713481601,32593.02624805976
1.26,0.004781553540434921,33177.7482034429
1.265,0.004833758855032293,34014.737123663734
1.27,0.004921193196207736,35316.08841889883
1.275,0.005061933145079784,36987.26520886687
1.28,0.005262719079427799,38971.962175472065
1.285,0.00553201459393628,41245.52670515293
1.29,0.005874843976548839,43775.437448636956
1.295,0.006292272669057467,46522.20643008152
1.3,0.0067868151603474,49450.83014501193
1.305,0.007335878875273407,52469.36249049594
1.31,0.007910421299660684,55491.87559178905
1.315,0.008489163651394904,58448.3923718284
1.3199999999999998,0.009052286305389505,61271.37755824555
1.325,0.009574462638827878,63858.382232825046
1.33,0.010034376774289509,66133.21466986462
1.335,0.010411546045275557,68033.8788684636
1.3399999999999999,0.010681637106922248,69492.67731457081
1.345,0.010837330425473734,70517.62383100715
1.3499999999999999,0.010874747564650154,71124.50650317872
1.355,0.010797610746230472,71342.17371628364
1.3599999999999999,0.01062149993243566,71210.08180167091
1.365,0.010372181650066696,70774.21143337502
1.3699999999999999,0.010087704955546367,70116.69617397238
1.375,0.009802519375427136,69335.51761946524
1.38,0.009554463703619696,68541.2759048567
1.385,0.009371274212073157,67849.51950108541
1.39,0.009263354172265488,67332.60544217195
1.395,0.009230314200911418,67029.62744365053
1.4,0.009272744750591326,67000.35635036738
1.405,0.00937601985700674,67236.19300976917
1.41,0.00953693645828872,67734.68907144533
