% Model,STAGE5~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 5 2026, 09:44"
% Table,Table 1 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2),Displacement magnitude (mm),von Mises stress (N/m^2)
0,4.113023333752026E-13,3.9174054427219897E-10,4.113023333752026E-13,3.9174054427219897E-10
0.025,0.020017408851994396,5.828880796823508,0.020017408851994396,5.828880796823508
0.05,0.10912193886117891,32.80840328626129,0.10912193886117891,32.80840328626129
0.07500000000000001,0.2232851677588383,68.43159002060824,0.2232851677588383,68.43159002060824
0.1,0.2865635846057686,87.52898422029746,0.2865635846057686,87.52898422029746
0.125,0.2988678045657513,90.67993264224656,0.2988678045657513,90.67993264224656
0.15000000000000002,0.33844816676183814,102.61193913930798,0.33844816676183814,102.61193913930798
0.17500000000000002,0.4418008657737649,134.37268866499326,0.4418008657737649,134.37268866499326
0.2,0.5478907625832401,167.15081605103134,0.5478907625832401,167.15081605103134
0.225,0.5905252514326675,179.8365096861246,0.5905252514326675,179.8365096861246
0.25,0.5996299389346543,182.13473118732156,0.5996299389346543,182.13473118732156
0.275,0.662005642039852,201.04363629547632,0.662005642039852,201.04363629547632
0.30000000000000004,0.7780032515280452,236.84712081293415,0.7780032515280452,236.84712081293415
0.325,0.8645965585191804,263.5837710630839,0.8645965585191804,263.5837710630839
0.35000000000000003,0.8876774239359061,270.0037129070621,0.8876774239359061,270.0037129070621
0.375,0.9090797130075572,276.1620589805529,0.9090797130075572,276.1620589805529
0.4,0.9928466475723988,301.95325488354456,0.9928466475723988,301.95325488354456
0.42500000000000004,1.1079817157334089,337.28579953130253,1.1079817157334089,337.28579953130253
0.45,1.1746239625956034,357.86307522906446,1.1746239625956034,357.86307522906446
0.47500000000000003,1.1867905032950854,360.88676282883415,1.1867905032950854,360.88676282883415
0.5,1.2236032069979124,371.73525907381025,1.2236032069979124,371.73525907381025
0.525,1.3269460021818291,403.853450520554,1.3269460021818291,403.853450520554
0.55,1.4349045453060174,436.8811402124367,1.4349045453060174,436.8811402124367
0.5750000000000001,1.4766740169602393,449.50076499925194,1.4766740169602393,449.50076499925194
0.6000000000000001,1.487156694911224,452.22720265346715,1.487156694911224,452.22720265346715
0.625,1.5487657664585943,470.7213601416806,1.5487657664585943,470.7213601416806
0.65,1.6613895884837573,505.70900773282244,1.6613895884837573,505.70900773282244
0.675,1.751230375387736,533.2428690372659,1.751230375387736,533.2428690372659
0.7000000000000001,1.7772163118449387,540.7453831644306,1.7772163118449387,540.7453831644306
0.7250000000000001,1.7948972994291503,545.6397542708262,1.7948972994291503,545.6397542708262
0.75,1.8766992114209529,570.7789115677599,1.8766992114209529,570.7789115677599
0.775,1.9945359841741364,607.1842043526912,1.9945359841741364,607.1842043526912
0.8,2.0606669003851907,627.2231991805588,2.0606669003851907,627.2231991805588
0.8250000000000001,2.0764979891756785,631.7320611971737,2.0764979891756785,631.7320611971737
0.8500000000000001,2.111420706246809,641.9733975699412,2.111420706246809,641.9733975699412
0.875,2.208025506034988,671.5790598151041,2.208025506034988,671.5790598151041
0.9,2.3166306843882145,705.3580845532953,2.3166306843882145,705.3580845532953
0.925,2.369790667186039,721.2783187387586,2.369790667186039,721.2783187387586
0.9500000000000001,2.3826936830587377,724.5555197822772,2.3826936830587377,724.5555197822772
0.9750000000000001,2.4296356451599195,738.9480859145724,2.4296356451599195,738.9480859145724
1,2.536986481825816,771.8609829808796,2.536986481825816,771.8609829808796
1.0250000000000001,2.6179186247802315,797.1165255501621,2.6179186247802315,797.1165255501621
1.05,2.566669067287795,781.6208977183924,2.566669067287795,781.6208977183924
1.075,2.4657141110191887,749.2997768505005,2.4657141110191887,749.2997768505005
