step,filename,n_elements,vm_mean,vm_median,vm_max,vm_std,J_mean,J_median,J_std,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,full_homogeneous_density.0.vtk,23380,695.180419921875,567.557373046875,2597.97802734375,513.5081787109375,1.000382900238037,1.0001499652862549,0.0009479866130277514,911.265625,2346.916015625,1.000411868095398,5071,635.331787109375,2597.97802734375,1.0003749132156372,18309,0.016194386407732964,0.03527303412556648
1,full_homogeneous_density.1.vtk,23380,664.4160766601562,676.669189453125,1971.157470703125,387.4797668457031,1.000306248664856,1.000190019607544,0.0009024692699313164,956.4881591796875,1791.556640625,1.0004223585128784,5071,583.521484375,1971.157470703125,1.0002741813659668,18309,0.015262731350958347,0.035589657723903656
2,full_homogeneous_density.2.vtk,23380,515.980224609375,498.8651123046875,1359.807861328125,232.07159423828125,1.0001612901687622,1.0001499652862549,0.0006942912004888058,784.5230712890625,1092.3427734375,1.0002809762954712,5071,441.6025390625,1359.807861328125,1.0001282691955566,18309,0.013000608421862125,0.03547963500022888
3,full_homogeneous_density.3.vtk,23380,402.7147216796875,336.549560546875,1674.64892578125,216.94876098632812,1.0001293420791626,1.0000699758529663,0.0005252375267446041,537.7024536132812,1244.2430419921875,1.000144362449646,5071,365.3274230957031,1674.64892578125,1.0001252889633179,18309,0.012176644057035446,0.03299899771809578
4,full_homogeneous_density.4.vtk,23380,399.55328369140625,299.3160705566406,1459.917724609375,295.4290466308594,1.0001530647277832,1.0000499486923218,0.0005124931340105832,513.4732055664062,1390.2408447265625,1.00015389919281,5071,368.0011901855469,1459.917724609375,1.0001529455184937,18309,0.013004989363253117,0.028809357434511185
5,full_homogeneous_density.5.vtk,23380,415.7997131347656,387.971435546875,1370.7196044921875,299.4268493652344,1.0001606941223145,1.0000799894332886,0.0005058314418420196,552.4155883789062,1353.7822265625,1.0001815557479858,5071,377.9615173339844,1370.7196044921875,1.0001548528671265,18309,0.013767157681286335,0.026516327634453773
6,full_homogeneous_density.6.vtk,23380,452.2850341796875,427.2205505371094,1461.78857421875,269.78009033203125,1.0001651048660278,1.0000900030136108,0.0005251519032754004,616.9337158203125,1302.91357421875,1.0002031326293945,5071,406.68267822265625,1461.78857421875,1.0001544952392578,18309,0.014534798450767994,0.02818772941827774
7,full_homogeneous_density.7.vtk,23380,472.8929138183594,448.06005859375,1614.0166015625,272.2705383300781,1.0001717805862427,1.000100016593933,0.0005706511437892914,651.6925659179688,1330.817138671875,1.0002106428146362,5071,423.3711242675781,1614.0166015625,1.0001609325408936,18309,0.015228914096951485,0.030870532616972923
8,full_homogeneous_density.8.vtk,23380,487.5480041503906,452.49462890625,1726.350830078125,289.7673645019531,1.0001834630966187,1.0000900030136108,0.0006195086752995849,672.3123168945312,1419.8037109375,1.0002226829528809,5071,436.3742980957031,1726.350830078125,1.0001723766326904,18309,0.015795378014445305,0.03397732228040695
9,full_homogeneous_density.9.vtk,23380,500.6000061035156,456.4405517578125,1775.425537109375,298.5573425292969,1.0001931190490723,1.000100016593933,0.0006515535060316324,691.3937377929688,1489.0987548828125,1.0002375841140747,5071,447.75628662109375,1775.425537109375,1.000180959701538,18309,0.016182508319616318,0.035989172756671906
10,full_homogeneous_density.10.vtk,23380,508.6464538574219,464.05853271484375,1784.6346435546875,299.29058837890625,1.0001975297927856,1.000100016593933,0.0006632566801272333,705.3968505859375,1513.79541015625,1.0002466440200806,5071,454.1529846191406,1784.6346435546875,1.000184178352356,18309,0.016408544033765793,0.03677113726735115
