step,filename,n_elements,vm_mean,vm_median,vm_max,vm_std,J_mean,J_median,J_std,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,gradient_lobules.0.vtk,23380,716.8648681640625,605.0523681640625,2795.515380859375,502.8363952636719,1.0003770589828491,1.0001499652862549,0.0009315586066804826,880.1054077148438,2173.72265625,1.000388503074646,5071,671.6526489257812,2795.515380859375,1.0003738403320312,18309,0.015080127865076065,0.03281044960021973
1,gradient_lobules.1.vtk,23380,685.1895751953125,719.9393920898438,2142.179931640625,368.326171875,1.000299096107483,1.0002000331878662,0.0008885397692210972,925.9380493164062,1634.3504638671875,1.0003999471664429,5071,618.510009765625,2142.179931640625,1.0002713203430176,18309,0.014147857204079628,0.03311780467629433
2,gradient_lobules.2.vtk,23380,524.616943359375,516.3068237304688,1485.4166259765625,212.40664672851562,1.000152826309204,1.0001399517059326,0.0006651761941611767,750.43798828125,985.6498413085938,1.0002586841583252,5071,462.07177734375,1485.4166259765625,1.0001232624053955,18309,0.011807072907686234,0.03290104120969772
3,gradient_lobules.3.vtk,23380,397.5218200683594,343.0536193847656,1737.830810546875,204.14132690429688,1.0001174211502075,1.0000699758529663,0.0004843107017222792,497.4985656738281,1105.109130859375,1.0001237392425537,5071,369.8315124511719,1737.830810546875,1.0001157522201538,18309,0.010897978208959103,0.03009701706469059
4,gradient_lobules.4.vtk,23380,397.1507263183594,300.4357604980469,1511.2379150390625,289.5541687011719,1.0001444816589355,1.0000499486923218,0.00048169278306886554,469.71673583984375,1295.88037109375,1.0001362562179565,5071,377.0523376464844,1511.2379150390625,1.000146746635437,18309,0.011812112294137478,0.025517817586660385
5,gradient_lobules.5.vtk,23380,418.1446533203125,407.76715087890625,1435.9031982421875,289.1292724609375,1.0001500844955444,1.0000699758529663,0.00047861115308478475,513.1690673828125,1234.068359375,1.0001604557037354,5071,391.825927734375,1435.9031982421875,1.0001472234725952,18309,0.012649599462747574,0.023366348817944527
6,gradient_lobules.6.vtk,23380,461.25311279296875,450.24298095703125,1559.4498291015625,257.9915466308594,1.0001569986343384,1.0000900030136108,0.0005064597353339195,589.1420288085938,1186.3399658203125,1.0001848936080933,5071,425.8320617675781,1559.4498291015625,1.0001493692398071,18309,0.013475591316819191,0.02615419402718544
7,gradient_lobules.7.vtk,23380,483.68084716796875,468.9812316894531,1737.888916015625,264.5723876953125,1.0001659393310547,1.000100016593933,0.0005586345214396715,627.2273559570312,1228.4759521484375,1.000195026397705,5071,443.923095703125,1737.888916015625,1.0001579523086548,18309,0.014209684915840626,0.029159031808376312
8,gradient_lobules.8.vtk,23380,502.0348205566406,475.2848815917969,1867.4278564453125,279.5181884765625,1.0001784563064575,1.0000900030136108,0.0006096319411881268,649.5667724609375,1320.0977783203125,1.0002084970474243,5071,461.1732482910156,1867.4278564453125,1.0001702308654785,18309,0.014792905189096928,0.032372504472732544
9,gradient_lobules.9.vtk,23380,516.3851318359375,481.8798828125,1924.6312255859375,285.8168640136719,1.0001877546310425,1.0000900030136108,0.0006402579601854086,667.6624755859375,1379.9454345703125,1.0002223253250122,5071,474.48614501953125,1924.6312255859375,1.0001780986785889,18309,0.015179028734564781,0.03409893065690994
10,gradient_lobules.10.vtk,23380,524.344970703125,491.6083679199219,1934.8302001953125,286.6030578613281,1.000192403793335,1.000100016593933,0.0006498383590951562,679.9934692382812,1396.42431640625,1.0002305507659912,5071,481.23541259765625,1934.8302001953125,1.000182032585144,18309,0.015392990782856941,0.034585051238536835
11,gradient_lobules.11.vtk,23380,527.320556640625,498.4515380859375,1930.0284423828125,288.36029052734375,1.0001952648162842,1.000100016593933,0.0006492426618933678,684.4884643554688,1398.8343505859375,1.0002336502075195,5071,483.7900390625,1930.0284423828125,1.0001846551895142,18309,0.015480277128517628,0.03441464900970459
12,gradient_lobules.12.vtk,23380,526.3368530273438,499.9215087890625,1924.7193603515625,290.9559631347656,1.000196099281311,1.000100016593933,0.0006451456574723125,681.7683715820312,1398.8311767578125,1.0002330541610718,5071,483.287353515625,1924.7193603515625,1.0001859664916992,18309,0.015464971773326397,0.03398962691426277
13,gradient_lobules.13.vtk,23380,522.66796875,497.0618896484375,1917.634521484375,291.22857666015625,1.0001943111419678,1.000100016593933,0.0006392438663169742,675.7635498046875,1391.4368896484375,1.0002295970916748,5071,480.26544189453125,1917.634521484375,1.0001845359802246,18309,0.015371162444353104,0.03356442600488663
