node_id,x,y,z
1,0.0,1.474514954580286e-15,0.0289899989998013
2,0.0,0.06957457063968628,0.007705784859658587
3,0.0,0.0,0.07
4,0.0,0.07350000000000001,0.0
5,0.0,-0.002,0.07
6,0.0,0.007450925286663591,0.031749415285060284
7,0.0,0.015222029841528019,0.03340489100525022
8,0.0,0.0231506798703216,0.03392178033932913
9,0.0,0.031070944464697294,0.03328926581945481
10,0.0,0.038817068206807054,0.0315205847191157
11,0.0,0.04622694010120655,0.02865275202327017
12,0.0,0.05314548623623277,0.024745785778178365
13,0.0,0.059427915173184645,0.01988145103281772
14,0.0,0.06494274814375377,0.01416154865869482
15,0.0,0.0036754982714077046,0.030504620023896204
16,0.0,0.011306502092457786,0.03271786346868309
17,0.0,0.019176995611699894,0.03380689865008957
18,0.0,0.027122265021103067,0.03374893422328183
19,0.0,0.03497603160167019,0.03254518326866537
20,0.0,0.04257393160699721,0.03022083790451986
21,0.0,0.04975695607025675,0.02682454206596466
22,0.0,0.05637477854627358,0.022427373483945138
23,0.0,0.06228890114565448,0.017121356169398843
24,0.0,0.06737555302072336,0.011017534533355456
25,0.0,0.0683939145395499,0.01490880457839412
26,0.0,0.06646961500923589,0.02194972165026162
27,0.0,0.06382259485617568,0.028751980554814968
28,0.0,0.060481634991063224,0.035241620689290064
29,0.0,0.056483061494528725,0.041348080538342866
30,0.0,0.05187035064557742,0.04700496488568891
31,0.0,0.046693656206298007,0.05215076672579272
32,0.0,0.04100926410264934,0.05672953602629901
33,0.0,0.03487898043055228,0.060691488069787455
34,0.0,0.028369459441464302,0.06399354476038277
35,0.0,0.021551478814214486,0.06659980300962207
36,0.0,0.014499170093029597,0.06848192510884457
37,0.0,0.007289212659158751,0.06961944684360513
38,0.0,0.06907819191995679,0.011322694072950052
39,0.0,0.06752359979216366,0.018454361845041345
40,0.0,0.06523482712059761,0.025385376312864534
41,0.0,0.06223675960995678,0.032040376921198245
42,0.0,0.058561995090362876,0.03834700419897643
43,0.0,0.0542504890828713,0.0442366865200058
44,0.0,0.04934912036519537,0.0496453856786455
45,0.0,0.04391118126122556,0.05451429317384381
46,0.0,0.03799579819639899,0.058790469630872345
47,0.0,0.03166728881919007,0.06242742040835902
48,0.0,0.024994462678706583,0.06538560113207452
49,0.0,0.018049873062086618,0.0676328476588304
50,0.0,0.010909028126429405,0.06914472579551367
51,0.0,0.003649569902580385,0.06990479697078149
52,0.0,0.07168918663970242,0.003930272983751568
53,0.0,-0.001,0.07
54,0.006937760868333085,1.474514954580286e-15,0.028147602316046506
55,0.013472324292733342,1.474514954580286e-15,0.025669369298054585
56,0.019223925199146237,1.474514954580286e-15,0.021699325840820738
57,0.023858301449109713,1.474514954580286e-15,0.016468196439558578
58,0.027106119940248148,1.474514954580286e-15,0.010279995320687747
59,0.028778629267196463,1.474514954580286e-15,0.00349435824004117
60,0.02877862926719646,1.474514954580286e-15,-0.0034943582400411986
61,0.027106119940248138,1.474514954580286e-15,-0.010279995320687787
62,0.023858301449109685,1.474514954580286e-15,-0.016468196439558616
63,0.019223925199146213,1.474514954580286e-15,-0.021699325840820762
64,0.01347232429273333,1.474514954580286e-15,-0.025669369298054592
65,0.006937760868333068,1.474514954580286e-15,-0.02814760231604651
66,3.5501336972461035e-18,1.474514954580286e-15,-0.0289899989998013
67,-0.006937760868333098,1.474514954580286e-15,-0.028147602316046502
68,-0.01347232429273337,1.474514954580286e-15,-0.025669369298054575
69,-0.019223925199146265,1.474514954580286e-15,-0.021699325840820714
70,-0.02385830144910975,1.474514954580286e-15,-0.016468196439558526
71,-0.02710611994024817,1.474514954580286e-15,-0.010279995320687697
72,-0.02877862926719647,1.474514954580286e-15,-0.0034943582400411228
73,-0.028778629267196452,1.474514954580286e-15,0.00349435824004124
74,-0.027106119940248138,1.474514954580286e-15,0.010279995320687784
75,-0.023858301449109696,1.474514954580286e-15,0.0164681964395586
76,-0.019223925199146202,1.474514954580286e-15,0.02169932584082077
77,-0.01347232429273331,1.474514954580286e-15,0.025669369298054603
78,-0.0069377608683330845,1.474514954580286e-15,0.028147602316046506
79,0.0034943582400411856,1.474514954580286e-15,0.02877862926719646
80,0.010279995320687765,1.474514954580286e-15,0.027106119940248145
81,0.016468196439558592,1.474514954580286e-15,0.023858301449109703
82,0.02169932584082075,1.474514954580286e-15,0.019223925199146227
83,0.025669369298054592,1.474514954580286e-15,0.013472324292733328
84,0.02814760231604651,1.474514954580286e-15,0.006937760868333066
85,0.0289899989998013,1.474514954580286e-15,-1.1099078900752814e-17
86,0.028147602316046502,1.474514954580286e-15,-0.0069377608683331
87,0.02566936929805457,1.474514954580286e-15,-0.01347232429273337
88,0.021699325840820724,1.474514954580286e-15,-0.019223925199146254
89,0.016468196439558578,1.474514954580286e-15,-0.023858301449109713
90,0.010279995320687744,1.474514954580286e-15,-0.02710611994024815
91,0.003494358240041185,1.474514954580286e-15,-0.02877862926719646
92,-0.003494358240041191,1.474514954580286e-15,-0.02877862926719646
93,-0.010279995320687785,1.474514954580286e-15,-0.027106119940248138
