node_id,x,y,z
1,0.0,1.474514954580286e-15,0.0289899989998013
2,0.0,0.06957457063968628,0.007705784859658587
3,0.0,0.0,0.07
4,0.0,0.07350000000000001,0.0
5,0.0,-0.002,0.07
6,0.0,0.006757936706529185,0.031543471636518494
7,0.0,0.013792554131725041,0.03318788299534245
8,0.0,0.020982145465839718,0.03389478290644794
9,0.0,0.028202322675837728,0.03365194120466854
10,0.0,0.035328168558559275,0.03246355932513727
11,0.0,0.04223639794912157,0.030350197613723668
12,0.0,0.04880749069321866,0.027348419609877873
13,0.0,0.05492775948049482,0.023510159456189627
14,0.0,0.0604913167631439,0.018901823379189508
15,0.0,0.0654019067298257,0.013603140786787708
16,0.0,0.003336939378722141,0.03037796782001592
17,0.0,0.010248179171326026,0.03248146385400959
18,0.0,0.01737571455431521,0.033659670287592314
19,0.0,0.024596231132548062,0.033892202821577594
20,0.0,0.03178480583141202,0.033175038381054095
21,0.0,0.038817068206807005,0.03152058471911573
22,0.0,0.04557135219399949,0.028957465748749054
23,0.0,0.05193080106766425,0.025530026316878496
24,0.0,0.057785389194935255,0.021297564988535866
25,0.0,0.06303382560285699,0.016333308114853753
26,0.0,0.0675853064263758,0.01072314293466185
27,0.0,0.06849594615538877,0.014432787682152151
28,0.0,0.06676848336848602,0.021023073720847926
29,0.0,0.06440854593384172,0.027414215485550595
30,0.0,0.061438488718937756,0.03354567191059018
31,0.0,0.05788644604398027,0.03935936183930529
32,0.0,0.05378606517525822,0.04480021420666286
33,0.0,0.049176187596278675,0.04981668970832575
34,0.0,0.044100481075887106,0.05436126901457806
35,0.0,0.038607026018663115,0.058390902904427416
36,0.0,0.0327478600159509,0.06186742005592027
37,0.0,0.026578484911834222,0.06475788862981406
38,0.0,0.020157341053448512,0.06703492822145005
39,0.0,0.013545253705874562,0.06867696922581465
40,0.0,0.00680485687553293,0.06966845715891457
41,0.0,0.06911714724840874,0.0110824165343929
42,0.0,0.067712439338151,0.017748959374487876
43,0.0,0.06566631501317909,0.02424737248837349
44,0.0,0.06299815649840484,0.030516098666154744
45,0.0,0.059733238332526986,0.03649575644248972
46,0.0,0.05590248795110627,0.04212970259658165
47,0.0,0.051542192721712565,0.04736456871373201
48,0.0,0.046693656206298007,0.05215076672579272
49,0.0,0.04140280690690336,0.056442958641709035
50,0.0,0.035719763200913635,0.0602004860185585
51,0.0,0.029698358587080205,0.06338775510485602
52,0.0,0.023395631739488644,0.06597457400779662
53,0.0,0.016871286200014258,0.0679364386905673
54,0.0,0.010187124827410774,0.06925476509057518
55,0.0,0.0034064643602995225,0.06991706515981638
56,0.0,0.07168918663970242,0.003930272983751568
57,0.0,-0.001,0.07
58,0.006450881652828407,1.474514954580286e-15,0.02826315919902944
59,0.01257828916304806,1.474514954580286e-15,0.02611908657934324
60,0.018074968732270998,1.474514954580286e-15,0.02266529389476135
61,0.02266529389476136,1.474514954580286e-15,0.018074968732270987
62,0.026119086579343243,1.474514954580286e-15,0.012578289163048048
63,0.02826315919902944,1.474514954580286e-15,0.006450881652828401
64,0.0289899989998013,1.474514954580286e-15,-1.1099078900752814e-17
65,0.028263159199029435,1.474514954580286e-15,-0.006450881652828423
66,0.026119086579343233,1.474514954580286e-15,-0.01257828916304808
67,0.022665293894761344,1.474514954580286e-15,-0.018074968732271005
68,0.018074968732270987,1.474514954580286e-15,-0.02266529389476136
69,0.01257828916304806,1.474514954580286e-15,-0.026119086579343236
70,0.006450881652828409,1.474514954580286e-15,-0.02826315919902944
71,3.5501336972461035e-18,1.474514954580286e-15,-0.0289899989998013
72,-0.006450881652828402,1.474514954580286e-15,-0.02826315919902944
73,-0.012578289163048078,1.474514954580286e-15,-0.026119086579343233
74,-0.018074968732271015,1.474514954580286e-15,-0.022665293894761337
75,-0.02266529389476138,1.474514954580286e-15,-0.01807496873227096
76,-0.02611908657934326,1.474514954580286e-15,-0.012578289163048016
77,-0.02826315919902944,1.474514954580286e-15,-0.006450881652828385
78,-0.0289899989998013,1.474514954580286e-15,2.0423090952882574e-17
79,-0.02826315919902943,1.474514954580286e-15,0.006450881652828425
80,-0.026119086579343233,1.474514954580286e-15,0.012578289163048076
81,-0.022665293894761355,1.474514954580286e-15,0.01807496873227099
82,-0.018074968732271,1.474514954580286e-15,0.022665293894761348
83,-0.012578289163048064,1.474514954580286e-15,0.026119086579343236
84,-0.006450881652828412,1.474514954580286e-15,0.028263159199029435
85,0.003245850050248172,1.474514954580286e-15,0.02880771597089544
86,0.009574789675735607,1.474514954580286e-15,0.027363176801568696
87,0.01542360936604182,1.474514954580286e-15,0.024546533688735512
88,0.020499024879350736,1.474514954580286e-15,0.020499024879350725
89,0.02454653368873552,1.474514954580286e-15,0.015423609366041806
90,0.0273631768015687,1.474514954580286e-15,0.009574789675735594
91,0.02880771597089544,1.474514954580286e-15,0.00324585005024816
92,0.028807715970895438,1.474514954580286e-15,-0.003245850050248182
93,0.02736317680156869,1.474514954580286e-15,-0.009574789675735622
94,0.024546533688735505,1.474514954580286e-15,-0.015423609366041835
