case,runtime_sec,peak_vm_max,peak_disp_max_mm,min_J,peak_glandular_vm,peak_adipose_vm,delta_vm_pct,delta_disp_pct,delta_min_J_pct,summary_csv,vtk_dir
radial_alpha_low,11853.8,2808.48583984375,35.5653278529644,0.9848129749298096,2156.22802734375,2808.48583984375,-1.63,2.17,0.0,runs\radial_testcases\radial_alpha_low\radial_alpha_low_summary_statistics.csv,runs\radial_testcases\radial_alpha_low\output
radial_alpha_medium,11877.3,2855.08642578125,34.80943664908409,0.9848089814186096,2105.275146484375,2855.08642578125,0.0,0.0,0.0,runs\radial_testcases\radial_alpha_medium\radial_alpha_medium_summary_statistics.csv,runs\radial_testcases\radial_alpha_medium\output
radial_alpha_high,11887.8,2946.000732421875,33.705249428749084,0.984906017780304,2052.19384765625,2946.000732421875,3.18,-3.17,0.01,runs\radial_testcases\radial_alpha_high\radial_alpha_high_summary_statistics.csv,runs\radial_testcases\radial_alpha_high\output
radial_center_offset,12098.3,2849.7119140625,34.856166690588,0.9848179817199707,2099.130859375,2849.7119140625,-0.19,0.13,0.0,runs\radial_testcases\radial_center_offset\radial_center_offset_summary_statistics.csv,runs\radial_testcases\radial_center_offset\output
radial_narrow_gradient,4976.03,2872.65185546875,34.211162477731705,0.9849910140037537,2070.517822265625,2872.65185546875,0.62,-1.72,0.02,runs\radial_testcases\radial_narrow_gradient\radial_narrow_gradient_summary_statistics.csv,runs\radial_testcases\radial_narrow_gradient\output
