% Model,stage5_reference_no_cooper_xoffset055_100g_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 11:44"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
1.41,10.515085825537831,3058.583899993714
1.415,10.512965734585023,3052.2620083736288
1.42,10.566664417376927,3062.146703459924
1.425,10.671354208427028,3084.977128318402
1.43,10.815478278035899,3116.1367849569892
1.435,10.984846410477546,3150.511407548548
1.44,11.165284011351904,3184.3127296577604
1.4449999999999998,11.339692900481534,3215.952206538451
1.45,11.481151529909553,3243.734382938498
1.455,11.568809474177343,3264.2587309813257
1.46,11.59246745507892,3272.9463016334985
1.4649999999999999,11.547433319470684,3265.6366543958898
1.47,11.431626497160092,3239.009013867935
1.475,11.248340419420208,3190.501700991182
1.48,11.004579217077074,3118.384942580447
1.4849999999999999,10.703361651362423,3022.0618602223262
1.49,10.340227808691184,2903.1229107955687
1.4949999999999999,9.907258479687542,2766.2663123089483
1.5,9.398461251833664,2617.8545906378527
1.505,8.819165091941453,2464.5333100462617
1.51,8.188365437796769,2311.2886105744037
1.515,7.534513177913729,2161.196872043889
1.52,6.8926424811666145,2015.611661151874
1.525,6.296863619820116,1875.3977073283247
1.53,5.774184543877804,1742.8358303336618
1.535,5.342135200449899,1622.333033436759
1.54,5.006423638765155,1519.3173167052562
1.545,4.757024736705652,1437.631935003823
1.55,4.578503016243662,1377.7247723949567
1.555,4.462028019862947,1337.4889293102278
1.56,4.398621844102305,1311.338026649485
1.565,4.385488227920565,1295.0655147552188
1.5699999999999998,4.414324685132641,1284.194948799031
1.575,4.466640941644261,1273.4844607960056
1.58,4.512748116812585,1257.4270218069817
1.585,4.522525300003441,1231.9478781452283
1.5899999999999999,4.4734896997020925,1195.224973892562
1.595,4.350607186591955,1146.8419826043958
1.6,4.145009728197308,1086.7161318378012
1.605,3.847956451528731,1013.8848281890561
1.6099999999999999,3.466762953060903,928.4112784858177
1.615,3.018407076043471,829.6746090590874
1.6199999999999999,2.5299431950334186,717.0817813983514
1.625,2.027791829903552,591.6847767359811
1.63,1.5376307138475993,458.28068401821565
1.635,1.0619018961702356,321.3900526230178
1.64,0.6012007622806136,185.90655222409717
1.645,0.257943102493877,89.3832175110633
1.65,0.3422526603406001,87.69793846845404
1.655,0.6983873072659043,158.64113276533155
1.66,0.9934673267396364,230.12676509155258
1.665,1.2040599754206276,277.07719856054837
1.67,1.3114473278677878,299.9825496957198
1.675,1.3162421203370498,301.5882967074072
1.68,1.2363915911926309,285.2608438583792
1.685,1.0736482522889854,251.56320226707385
1.69,0.8393135958994711,200.67376647756885
1.6949999999999998,0.5569141436494578,135.21899353336875
1.7,0.24880263591488522,66.22777284453463
1.705,0.19701208800935005,33.17655749681222
1.71,0.4297973509886853,112.15590625557624
1.7149999999999999,0.703819512716425,185.56635947166475
1.72,0.9745000526407837,247.8809206338565
1.725,1.205626036905517,296.346915163862
1.73,1.379984824613153,328.7834778220286
1.7349999999999999,1.4887927729941222,344.8902781562925
1.74,1.5247024718630042,347.71053191751776
1.745,1.4890082990299724,342.00329259862536
1.75,1.388224201993394,330.15919910780747
1.755,1.237596715236576,315.5497703101805
1.76,1.061164200380598,298.42212261825193
1.7650000000000001,0.8945708289192381,280.3577786483379
1.77,0.8157959155755699,265.0520557476853
1.775,0.8807273615831672,275.0149454626687
1.7799999999999998,0.9781524784369632,298.21917687572375
1.785,1.0909085502578466,332.72107361452197
1.79,1.2180944010394743,371.8889876997337
1.795,1.3707356715663512,423.99202758770764
1.7999999999999998,1.5794385927775247,493.74482298555773
1.805,1.889252384897373,605.6792613582792
1.81,2.3801201072192084,736.4737090857102
1.815,2.963241540470653,882.6557040877982
1.8199999999999998,3.587406085717908,1035.529494176611
1.825,4.228239921455941,1191.5881663470643
1.83,4.859789957651423,1348.6018522961413
1.835,5.4640747226747415,1505.8263070146133
1.8399999999999999,6.027319325403532,1661.0327084122416
1.845,6.536678928493073,1810.131778982962
1.85,6.975601835772605,1945.6240479365117
1.855,7.34967996235019,2063.179782320872
1.8599999999999999,7.634949311066758,2147.8852331365097
1.865,7.829575049062754,2196.530096178315
1.87,7.921084637824084,2209.454333228606
1.875,7.898580443163916,2187.249963358744
1.88,7.772707503440033,2137.0858113024983
1.885,7.519424898042861,2056.8004374971542
1.8900000000000001,7.168042695062256,1957.0129725354393
1.895,6.7237696814655665,1842.6122967804881
1.9,6.213269066225074,1720.4479876743803
1.9000000000000001,6.21326906622505,1720.4479876743735
1.925,3.765321969396374,1155.695238243887
1.9500000000000002,4.002251884049437,1291.4503764094632
1.975,6.908862728386253,1858.611912446149
2,8.145756112248797,2210.8966510975956
2.0250000000000004,6.241058657437916,1780.676890973722
2.0500000000000003,3.83088740776722,1222.5370564809737
2.075,4.1138384673489785,1195.913620881884
2.1,6.163423472709735,1828.6947824237714
2.125,8.190118735993105,2185.291487199767
2.1500000000000004,6.776824230254038,1871.671790742644
2.1750000000000003,3.989010885502191,1243.6400771604003
2.2,3.616662773068924,1189.1297979170176
