% Model,stage5_reference_no_cooper_xoffset055_100g_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 11:43"
% Table,Table 2 - Volume Average + VM stress avg
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,4.079195646902252E-13,5.911101922298029E-11
0.025,0.02040505316231127,1.81665771566662
0.05,0.11759297190273667,12.465475166689655
0.07500000000000001,0.2611353586190793,28.53744137000493
0.1,0.36478722364121363,40.18317891803562
0.125,0.39542307588624603,42.94320904369901
0.15000000000000002,0.4124534256024956,44.291931467403195
0.17500000000000002,0.4939100719039399,53.29331772415478
0.2,0.6365792688680182,69.2744488213765
0.225,0.752727425172181,82.0633774248562
0.25,0.7896796783965575,85.88543381817072
0.275,0.8023656887453331,86.73470607789275
0.30000000000000004,0.8754214853609067,94.51923039847203
0.325,1.0116045107467937,109.86908816278462
0.35000000000000003,1.135134901046217,123.69813562926942
0.375,1.1857109245182995,128.8261672445144
0.4,1.1959235226536737,129.42752956637747
0.42500000000000004,1.2545195740024604,135.7768778907926
0.45,1.3870090354097515,150.45530960689715
0.47500000000000003,1.5188738444937426,165.18786907958028
0.5,1.577903594332261,171.56558484397934
0.525,1.5898235040767779,172.30408329772783
0.55,1.6387862968301832,177.26594401932235
0.5750000000000001,1.76026293374478,190.97233098450567
0.6000000000000001,1.8972362037211006,206.23709867353506
0.625,1.973712348320016,214.51514424678945
0.65,1.9866785516537009,215.38102740843874
0.675,2.0221368472599037,219.0781783940642
0.7000000000000001,2.134632323078163,231.29126298293474
0.7250000000000001,2.276289709599316,247.3610274825565
0.75,2.3634511737615,256.866197939528
0.775,2.3844640651723448,258.76842533284474
0.8,2.4115920550234606,261.074607712343
0.8250000000000001,2.5065962831693276,271.8138564348576
0.8500000000000001,2.650941707137001,287.8318638294436
0.875,2.754143427478662,299.30864049825135
0.9,2.782245663288016,301.9044359200315
0.925,2.7985855373358617,303.3607161795358
0.9500000000000001,2.8848768589952014,312.5306500510882
0.9750000000000001,3.0253652165128098,328.4540826457318
1,3.1387229020509073,341.08222814328684
1.0250000000000001,3.159817869092361,343.40216499830734
1.05,3.0767222125766915,333.7806437329959
1.075,3.002405411970234,325.1861587037833
1.1,3.0331609164191713,328.6935320909908
1.125,3.12763329109671,339.59931744520145
1.1500000000000001,3.161201603237452,343.85922481289185
1.175,3.0947056766320915,335.7564016322211
1.2000000000000002,3.0121145890573353,326.2722398077791
1.2,3.012114589057336,326.27223980777916
1.2049999999999998,3.003600505690147,325.2227939207778
1.21,3.0013784346796926,324.90782401188915
1.2149999999999999,3.001234502725431,324.8358935751169
1.22,3.0089373609378205,325.7655059801755
1.2249999999999999,3.018000247457235,326.8698682272144
1.23,3.0332238543703105,328.7644357678077
1.2349999999999999,3.049705545986602,330.79628653777615
1.24,3.0691793495666317,333.1535701209814
1.2449999999999999,3.0889471243846054,335.4835902750591
1.25,3.1090367233981815,337.78361201679036
1.255,3.1327444173536816,340.2144481988057
1.26,3.163246264827982,343.0736271983767
1.265,3.207652625801359,346.96215270435175
1.27,3.2804867334858048,353.49366520884615
1.275,3.3807662595125505,363.06123321379215
1.28,3.509567322165388,376.0455524734145
1.285,3.6675719883194042,392.7125222979739
1.29,3.854559448033522,413.1677470107313
1.295,4.075931079914969,438.12733763823553
1.3,4.31839873913005,465.6988453417352
1.305,4.576455065326279,495.04678405372465
1.31,4.844565943983325,525.3928829724662
1.315,5.116690665945984,555.9544230683964
1.3199999999999998,5.3811027167858425,585.4120460051299
1.325,5.629534124193565,613.1234863018432
1.33,5.857209266672546,638.6764963649546
1.335,6.05612096130216,661.2628183479451
1.3399999999999999,6.218910389234043,680.0346645893617
1.345,6.3429410506659485,694.5059052473305
1.3499999999999999,6.426713724848272,704.2465817668577
1.355,6.470696478083704,709.0577497571007
1.3599999999999999,6.477590278314835,709.1082230150943
1.365,6.4495564418576325,704.6397086502262
1.3699999999999999,6.392830417118672,696.5805845333797
1.375,6.313302228148386,685.9040713012491
1.38,6.217629408329604,673.6873909498814
1.385,6.11299560414111,660.9924574380169
1.39,6.006855914389659,648.7587805334844
1.395,5.906890142812331,637.7632624148587
1.4,5.821296315646703,628.656384606018
1.405,5.755499055587339,621.7153859769408
1.41,5.713753107912453,617.2353130188658
1.415,5.698248144915201,615.4672709917285
1.42,5.708858204788065,616.5590784211314
1.425,5.743167543949857,620.4698826881447
1.43,5.79675403967226,626.8980595002863
1.435,5.863610915300901,635.2430202909263
1.44,5.936571133349445,644.6146564885903
1.4449999999999998,6.007701404999684,653.8997672156643
1.45,6.0674247046403,661.7156907724492
1.455,6.107543984685695,666.9295011681488
1.46,6.120674468727872,668.6729565893044
1.4649999999999999,6.100371759427924,666.3437708496829
1.47,6.041696567010759,659.614554134371
1.475,5.941609736760744,648.3972433693426
1.48,5.799271361150514,632.7910236285153
1.4849999999999999,5.616230016003317,613.0193396932585
1.49,5.396440222759238,589.3879770360372
1.4949999999999999,5.146005855355724,562.2960783241977
1.5,4.872057258524419,532.20312644953
1.505,4.584190223385711,499.96944706624276
1.51,4.292074200730802,466.7158027151117
1.515,4.004173145434928,433.60459340806676
1.52,3.728302911017281,401.8360388095862
1.525,3.471298048521999,372.4955310625352
1.53,3.2387054991929385,346.42074258993733
1.535,3.034572572216163,324.1205436470077
1.54,2.8613039847736665,305.74227364242114
1.545,2.719541223033246,291.0990044767864
1.55,2.608438075151005,279.8138037491893
1.555,2.526326896811851,271.51903510389315
1.56,2.466566931868277,265.5211380966101
1.565,2.423487872885924,261.36610776985447
1.5699999999999998,2.390553122241556,258.54645756580584
1.575,2.3606924351246104,256.4222272301021
1.58,2.326754839490301,254.19039440643547
1.585,2.2819917462978605,250.928069094892
1.5899999999999999,2.2204485234914184,245.68395125275515
1.595,2.1372180175632884,237.59646427539292
1.6,2.028611985481122,226.01755475367546
1.605,1.8905185307084,210.37383111365796
1.6099999999999999,1.7236687557892825,190.94524567367478
1.615,1.529950985376804,168.2920541856501
1.6199999999999999,1.312668275502891,143.1751731384622
1.625,1.0770625188700746,116.48378005791662
1.63,0.8301672100943018,89.12738165067192
1.635,0.5802001219930795,61.96482373597045
1.64,0.336217231204245,35.91973908427204
1.645,0.11326758462558233,14.163624420942634
1.65,0.12320088698835766,17.608385092426865
1.655,0.2819923697627399,34.85104507223572
1.66,0.4138750741081085,49.82688255204252
1.665,0.507390032957139,60.595007416305464
1.67,0.5572312897721693,66.22729040448104
1.675,0.5624251941046138,66.46891336128533
1.68,0.5284223475072571,62.01215341020775
1.685,0.45771582178506226,53.30169603029867
1.69,0.3557746183880894,41.22821038856956
1.6949999999999998,0.2324512612791294,27.15764574140856
1.7,0.09860821330288154,12.73083738811354
1.705,0.06033914225714712,8.667869052207683
1.71,0.19698571162831444,22.09912829364441
1.7149999999999999,0.32594242469624785,36.389532903935944
1.72,0.43754764975073945,49.35836332002261
1.725,0.5267033509519319,60.20028103656554
1.73,0.5898165335216972,68.27001090271722
1.7349999999999999,0.6264739526871201,73.18144715010077
1.74,0.637887870691159,74.68636357579202
1.745,0.6298026172557071,73.30690915482765
1.75,0.6066910056095947,69.56076491800253
1.755,0.5736819612587881,64.15346269196519
1.76,0.5373491320199576,58.1156627629288
1.7650000000000001,0.5055952169507956,52.815438824349414
1.77,0.4851419206244383,49.62219255319832
1.775,0.48468073888112095,50.179593762198934
1.7799999999999998,0.5089806655970516,53.989132350679824
1.785,0.5620591634761036,60.27452763364123
1.79,0.6510499177732824,69.34871177101282
1.795,0.7732379717321445,81.40703660369863
1.7999999999999998,0.9359909587398652,97.80882048185107
1.805,1.1334224047269519,118.60542388275869
1.81,1.364465766880378,143.8785377144499
1.815,1.6250015198613947,173.11089891823235
1.8199999999999998,1.905993321232631,205.09954273683988
1.825,2.2030688347042453,239.17411223737088
1.83,2.5056779578442208,273.8093033414557
1.835,2.8058883813519047,307.770046586312
1.8399999999999999,3.095372516274192,339.93618658181055
1.845,3.3668108787812363,369.51663802660505
1.85,3.609816794413371,395.5130814969056
1.855,3.8211762978269017,418.01434171492355
1.8599999999999999,3.981375337478796,435.52094661775834
1.865,4.08560493780362,447.73320237383064
1.87,4.125847411922012,453.60395563437413
1.875,4.097665747601179,452.1240831059824
1.88,4.012005646537174,443.9043991209734
1.885,3.863978623613022,427.7295347361556
1.8900000000000001,3.673844746889775,405.8354438987714
1.895,3.44870731479997,379.0814226105247
1.9,3.203009133731889,349.58704862949725
1.9000000000000001,3.2030091337318782,349.5870486294957
1.925,2.1713538184440804,230.01127737023958
1.9500000000000002,2.369337452962299,249.15826099960572
1.975,3.4804201931569225,383.99872113713985
2,4.093143949133256,451.99849655285715
2.0250000000000004,3.366685587275689,368.24991329764833
2.0500000000000003,2.2351915453505184,233.8854461809522
2.075,2.238273743730728,239.51974595777665
2.1,3.402486058811483,368.40499457695825
2.125,4.100143632772247,455.418195792232
2.1500000000000004,3.4431893614431517,376.6932008701591
2.1750000000000003,2.3361104125935213,248.67675868479083
2.2,2.2088713693245925,231.49894883653786
