case,runtime_sec,peak_vm_max,peak_disp_max_mm,min_J,peak_glandular_vm,peak_adipose_vm,delta_vm_pct,delta_disp_pct,delta_min_J_pct,summary_csv,vtk_dir
stage2_reference_refinedmesh,687.877,29062.83984375,40.3316393494606,0.9648590087890625,,,0.0,0.0,0.0,runs\febio_runs\geometry_stage2\stage2_reference_refinedmesh\stage2_reference_refinedmesh_summary_statistics.csv,runs\febio_runs\geometry_stage2\stage2_reference_refinedmesh\output
stage2_reference_intermediate_materials,719.291,64329.625,17.908984795212746,0.9840549826622009,,,121.35,-55.6,1.99,runs\febio_runs\geometry_stage2\stage2_reference_intermediate_materials\stage2_reference_intermediate_materials_summary_statistics.csv,runs\febio_runs\geometry_stage2\stage2_reference_intermediate_materials\output
stage2_reference_chen_materials,729.78,101321.265625,14.523136429488659,0.9851499795913696,,,248.63,-63.99,2.1,runs\febio_runs\geometry_stage2\stage2_reference_chen_materials\stage2_reference_chen_materials_summary_statistics.csv,runs\febio_runs\geometry_stage2\stage2_reference_chen_materials\output
