case,runtime_sec,peak_vm_max,peak_disp_max_mm,min_J,peak_glandular_vm,peak_adipose_vm,delta_vm_pct,delta_disp_pct,delta_min_J_pct,summary_csv,vtk_dir
stage3_reference_support_baseline,794.588,64623.09765625,17.92849414050579,0.9844719767570496,,,0.0,0.0,0.0,runs\febio_runs\geometry_stage3\stage3_reference_support_baseline\stage3_reference_support_baseline_summary_statistics.csv,runs\febio_runs\geometry_stage3\stage3_reference_support_baseline\output
stage3_reference_support_baseline_refined150,2497.32,61934.45703125,18.01765151321888,0.9851019978523254,,,-4.16,0.5,0.06,runs\febio_runs\geometry_stage3\stage3_reference_support_baseline_refined150\stage3_reference_support_baseline_refined150_summary_statistics.csv,runs\febio_runs\geometry_stage3\stage3_reference_support_baseline_refined150\output
stage3_reference_support_baseline_refined175,8848.52,64879.40625,18.112802878022194,0.9874799847602844,,,0.4,1.03,0.31,runs\febio_runs\geometry_stage3\stage3_reference_support_baseline_refined175\stage3_reference_support_baseline_refined175_summary_statistics.csv,runs\febio_runs\geometry_stage3\stage3_reference_support_baseline_refined175\output
stage3_pectoral_support_slab_stable,376.964,63257.66796875,18.45632866024971,0.9842169880867004,,,-2.11,2.94,-0.03,runs\febio_runs\geometry_stage3\stage3_pectoral_support_slab_stable\stage3_pectoral_support_slab_stable_summary_statistics.csv,runs\febio_runs\geometry_stage3\stage3_pectoral_support_slab_stable\output
stage3_pectoral_support_curved_cap_stable,372.279,62907.8671875,18.58862116932869,0.9859730005264282,,,-2.65,3.68,0.15,runs\febio_runs\geometry_stage3\stage3_pectoral_support_curved_cap_stable\stage3_pectoral_support_curved_cap_stable_summary_statistics.csv,runs\febio_runs\geometry_stage3\stage3_pectoral_support_curved_cap_stable\output
