model,landmark,disp_mm
adipose_radial_gradient,nipple,32.662323
adipose_radial_gradient,left,18.565481
adipose_radial_gradient,right,18.488419
adipose_radial_gradient,superior,23.664797
adipose_radial_gradient,inferior,25.025742
