case,runtime_sec,peak_vm_max,peak_disp_max_mm,min_J,peak_glandular_vm,peak_adipose_vm,delta_vm_pct,delta_disp_pct,delta_min_J_pct,summary_csv,vtk_dir
baseline_fast,526.069,3045.75927734375,36.16880252957344,0.9853479862213135,2128.64404296875,3045.75927734375,0.0,0.0,0.0,runs\overnight_suite\baseline_fast_summary_statistics.csv,runs\overnight_suite\output
manual_lobules_balanced,2021.76,2781.110595703125,36.456987261772156,0.9802590012550354,2286.39501953125,2781.110595703125,-8.69,0.8,-0.52,runs\overnight_suite\manual_lobules_balanced_summary_statistics.csv,runs\overnight_suite\output
manual_lobules_dense,2789.7,2799.4775390625,36.5736223757267,0.9770020246505737,2277.8974609375,2799.4775390625,-8.09,1.12,-0.85,runs\overnight_suite\manual_lobules_dense_summary_statistics.csv,runs\overnight_suite\output
asym_manual_lobules,2421.14,2862.856689453125,36.67675703763962,0.9820460081100464,2202.7626953125,2862.856689453125,-6.01,1.4,-0.34,runs\overnight_suite\asym_manual_lobules_summary_statistics.csv,runs\overnight_suite\output
adipose_radial_gradient,2964.54,2855.26025390625,34.819845110177994,0.9848089814186096,2105.17138671875,2855.26025390625,-6.25,-3.73,-0.05,runs\overnight_suite\adipose_radial_gradient_summary_statistics.csv,runs\overnight_suite\output
