step,filename,n_elements,vm_mean,vm_median,vm_max,vm_std,J_mean,J_median,J_std,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,full_glandular_density.0.vtk,23380,826.9349975585938,653.3907470703125,3178.140869140625,626.3762817382812,1.0005093812942505,1.0002000331878662,0.0011901163961738348,1074.385498046875,2879.209716796875,1.0005390644073486,5071,758.399169921875,3178.140869140625,1.000501036643982,18309,0.01937565766274929,0.042448557913303375
1,full_glandular_density.1.vtk,23380,789.2969970703125,800.7630615234375,2330.5439453125,485.3782043457031,1.000421166419983,1.000249981880188,0.0011512992205098271,1126.176025390625,2232.77880859375,1.0005561113357544,5071,695.9924926757812,2330.5439453125,1.000383734703064,18309,0.01846015639603138,0.04272669181227684
2,full_glandular_density.2.vtk,23380,632.5408325195312,622.7774658203125,1534.6900634765625,300.9139099121094,1.000239372253418,1.0002100467681885,0.0009400741546414793,960.80712890625,1403.790771484375,1.0004032850265503,5071,541.6216430664062,1534.6900634765625,1.0001939535140991,18309,0.0163580235093832,0.04306458309292793
3,full_glandular_density.3.vtk,23380,526.0995483398438,446.7864074707031,2170.276123046875,271.1914367675781,1.0002036094665527,1.0001300573349,0.0007240851991809905,710.3176879882812,1569.093017578125,1.000239372253418,5071,475.0771179199219,2170.276123046875,1.0001938343048096,18309,0.01574322208762169,0.0416727140545845
4,full_glandular_density.4.vtk,23380,520.0391845703125,401.6292419433594,2017.7921142578125,359.3553771972656,1.0002288818359375,1.0000799894332886,0.00069999456172809,678.1314697265625,1769.7257080078125,1.0002362728118896,5071,476.2527160644531,2017.7921142578125,1.000226616859436,18309,0.016492431983351707,0.0381619855761528
5,full_glandular_density.5.vtk,23380,529.2550659179688,478.7934265136719,1864.6392822265625,380.45452880859375,1.0002418756484985,1.0001100301742554,0.0006880401051603258,705.8834838867188,1758.56103515625,1.0002686977386475,5071,480.3348083496094,1864.6392822265625,1.0002344846725464,18309,0.017089812085032463,0.03513580560684204
6,full_glandular_density.6.vtk,23380,552.8744506835938,514.2337646484375,1877.4219970703125,356.30096435546875,1.000246286392212,1.0001300573349,0.0006919322186149657,753.0032348632812,1696.296630859375,1.0002985000610352,5071,497.44525146484375,1877.4219970703125,1.0002318620681763,18309,0.017662648111581802,0.03501241281628609
7,full_glandular_density.7.vtk,23380,574.7041625976562,539.9844970703125,1983.12158203125,339.59051513671875,1.0002484321594238,1.0001399517059326,0.0007223716820590198,788.1475830078125,1675.665283203125,1.0003056526184082,5071,515.5872802734375,1983.12158203125,1.000232458114624,18309,0.018194222822785378,0.03678819537162781
8,full_glandular_density.8.vtk,23380,586.47216796875,548.0406494140625,2083.22412109375,350.9684143066406,1.0002554655075073,1.0001399517059326,0.0007683946168981493,805.8365478515625,1726.42236328125,1.0003082752227783,5071,525.71533203125,2083.22412109375,1.0002409219741821,18309,0.018669595941901207,0.039393119513988495
9,full_glandular_density.9.vtk,23380,598.4873046875,549.0418701171875,2135.814453125,364.33843994140625,1.000266671180725,1.0001399517059326,0.0008101912681013346,823.4127197265625,1800.4439697265625,1.000321626663208,5071,536.190185546875,2135.814453125,1.0002515316009521,18309,0.019046828150749207,0.041680291295051575
10,full_glandular_density.10.vtk,23380,607.9271850585938,552.3356323242188,2151.313720703125,369.4672546386719,1.0002739429473877,1.0001399517059326,0.0008332881843671203,839.0306396484375,1848.347900390625,1.0003347396850586,5071,543.9189453125,2151.313720703125,1.0002572536468506,18309,0.01930469274520874,0.04293777793645859
11,full_glandular_density.11.vtk,23380,613.9519653320312,558.7071533203125,2153.18701171875,369.7159118652344,1.0002774000167847,1.0001399517059326,0.0008402952225878835,850.0333251953125,1866.58740234375,1.0003423690795898,5071,548.5650634765625,2153.18701171875,1.000259280204773,18309,0.01947256736457348,0.043404191732406616
12,full_glandular_density.12.vtk,23380,617.5956420898438,564.638671875,2155.703125,370.7883605957031,1.0002801418304443,1.0001499652862549,0.0008416191558353603,855.43701171875,1873.8170166015625,1.000346064567566,5071,551.7213134765625,2155.703125,1.0002620220184326,18309,0.01958085037767887,0.04345809295773506
13,full_glandular_density.13.vtk,23380,619.1611938476562,568.3619384765625,2161.4326171875,373.427001953125,1.000282645225525,1.0001499652862549,0.0008422340615652502,855.9117431640625,1878.9676513671875,1.0003474950790405,5071,553.5889282226562,2161.4326171875,1.0002646446228027,18309,0.01963515393435955,0.04330892860889435
14,full_glandular_density.14.vtk,23380,618.9035034179688,568.9925537109375,2166.287109375,375.2947692871094,1.0002835988998413,1.0001499652862549,0.0008417856879532337,853.8944702148438,1879.6881103515625,1.0003470182418823,5071,553.818603515625,2166.287109375,1.0002660751342773,18309,0.019634699448943138,0.043094612658023834
