step,filename,n_elements,vm_mean,vm_median,vm_max,vm_std,J_mean,J_median,J_std,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,all_default_settings.0.vtk,23380,695.3480224609375,567.9974365234375,2599.13330078125,513.6624145507812,1.0003831386566162,1.0001499652862549,0.0009484045440331101,912.0220947265625,2348.338134765625,1.0004122257232666,5071,635.3363647460938,2599.13330078125,1.0003749132156372,18309,0.01619362272322178,0.0352323018014431
1,all_default_settings.1.vtk,23380,664.6616821289062,676.8307495117188,1972.2791748046875,387.6381530761719,1.0003063678741455,1.000190019607544,0.0009029561770148575,957.5963134765625,1792.8463134765625,1.0004225969314575,5071,583.5283203125,1972.2791748046875,1.0002743005752563,18309,0.015261908993124962,0.03554859384894371
2,all_default_settings.2.vtk,23380,516.30078125,499.05670166015625,1360.645751953125,232.56631469726562,1.0001615285873413,1.0001499652862549,0.0006948771770112216,785.987060546875,1094.025146484375,1.0002816915512085,5071,441.60638427734375,1360.645751953125,1.0001283884048462,18309,0.013001328334212303,0.03542381897568703
3,all_default_settings.3.vtk,23380,401.9394226074219,337.182861328125,1660.79052734375,214.67987060546875,1.0001282691955566,1.0000699758529663,0.0005233506672084332,538.7708740234375,1234.6126708984375,1.000144124031067,5071,364.04150390625,1660.79052734375,1.0001237392425537,18309,0.01216639019548893,0.0329352505505085
4,all_default_settings.4.vtk,23380,399.043701171875,299.3093566894531,1460.0684814453125,294.45367431640625,1.000152349472046,1.0000499486923218,0.0005122239817865193,513.3572387695312,1389.6656494140625,1.000152826309204,5071,367.382568359375,1460.0684814453125,1.0001521110534668,18309,0.01298824418336153,0.028777148574590683
5,all_default_settings.5.vtk,23380,415.29791259765625,387.3414001464844,1369.3443603515625,298.4798278808594,1.0001600980758667,1.0000799894332886,0.0005052463966421783,552.2998046875,1351.0003662109375,1.0001810789108276,5071,377.3528137207031,1369.3443603515625,1.0001544952392578,18309,0.013750296086072922,0.026514120399951935
6,all_default_settings.6.vtk,23380,451.95587158203125,426.8730163574219,1461.1826171875,269.6509094238281,1.0001647472381592,1.0000900030136108,0.0005248625529929996,617.1381225585938,1301.9071044921875,1.0002025365829468,5071,406.2057189941406,1461.1826171875,1.0001542568206787,18309,0.01452284399420023,0.02814437821507454
7,all_default_settings.7.vtk,23380,472.7604064941406,447.96697998046875,1614.2147216796875,272.6398010253906,1.0001716613769531,1.000100016593933,0.0005706256488338113,651.914306640625,1331.9632568359375,1.0002105236053467,5071,423.1405334472656,1614.2147216796875,1.0001609325408936,18309,0.015221994370222092,0.03081877902150154
8,all_default_settings.8.vtk,23380,487.5633850097656,452.7763671875,1726.736328125,290.0908203125,1.0001834630966187,1.0000900030136108,0.0006195888854563236,672.7486572265625,1421.2939453125,1.0002228021621704,5071,436.2731018066406,1726.736328125,1.000172734260559,18309,0.01579129695892334,0.03391316533088684
9,all_default_settings.9.vtk,23380,500.6856384277344,456.88385009765625,1775.9779052734375,298.7142639160156,1.0001933574676514,1.000100016593933,0.0006516790599562228,692.070556640625,1490.066650390625,1.0002378225326538,5071,447.6781921386719,1775.9779052734375,1.000180959701538,18309,0.01618005521595478,0.035928111523389816
10,all_default_settings.10.vtk,23380,508.7904968261719,464.39837646484375,1785.39697265625,299.4160461425781,1.0001975297927856,1.000100016593933,0.0006634839810431004,706.2236938476562,1514.67578125,1.0002468824386597,5071,454.1078796386719,1785.39697265625,1.000184178352356,18309,0.01640741154551506,0.03672168031334877
11,all_default_settings.11.vtk,23380,512.7249145507812,470.8556823730469,1783.5506591796875,299.8404846191406,1.0002001523971558,1.000100016593933,0.0006650651921518147,712.864990234375,1519.6258544921875,1.0002509355545044,5071,457.2926025390625,1783.5506591796875,1.0001862049102783,18309,0.0165240615606308,0.03677116334438324
12,all_default_settings.12.vtk,23380,513.3565673828125,473.2478332519531,1783.3140869140625,302.1092529296875,1.000201940536499,1.000100016593933,0.0006635813624598086,712.2260131835938,1521.6182861328125,1.0002515316009521,5071,458.2762451171875,1783.3140869140625,1.0001882314682007,18309,0.016554351896047592,0.03647169470787048
13,all_default_settings.13.vtk,23380,511.48785400390625,472.5009765625,1782.67919921875,303.5232238769531,1.00020170211792,1.000100016593933,0.0006601431523449719,707.7926635742188,1518.385009765625,1.0002496242523193,5071,457.1177978515625,1782.67919921875,1.0001884698867798,18309,0.01650889404118061,0.03608481213450432
14,all_default_settings.14.vtk,23380,508.1911926269531,469.501953125,1776.8104248046875,302.4034729003906,1.0001994371414185,1.000100016593933,0.0006547709926962852,702.7249145507812,1507.5279541015625,1.0002461671829224,5071,454.31158447265625,1776.8104248046875,1.000186562538147,18309,0.01641155779361725,0.03576137125492096
15,all_default_settings.15.vtk,23380,504.5162048339844,465.596435546875,1765.8863525390625,299.76544189453125,1.0001963376998901,1.000100016593933,0.0006488580838777125,698.0642700195312,1493.838134765625,1.0002424716949463,5071,450.9096984863281,1765.8863525390625,1.0001835823059082,18309,0.01629769802093506,0.035535503178834915
16,all_default_settings.16.vtk,23380,501.2393493652344,462.4830322265625,1753.89501953125,297.3108215332031,1.00019371509552,1.000100016593933,0.0006437567644752562,693.8759765625,1483.03369140625,1.000239372253418,5071,447.88525390625,1753.89501953125,1.0001810789108276,18309,0.016197092831134796,0.03537564352154732
